Date_of_publication,Municipality_name,Total_reported,Deceased
2020-12-01,Alblasserdam,1,0
2020-12-01,Alphen aan den Rijn,11,0
2020-12-01,Barendrecht,11,0
2020-12-01,Brielle,5,0
2020-12-01,Capelle aan den IJssel,8,0
2020-12-01,Delft,18,0
2020-12-01,Dordrecht,15,1
2020-12-01,Gorinchem,10,0
2020-12-01,Gouda,36,0
2020-12-01,'s-Gravenhage,105,0
2020-12-01,Hardinxveld-Giessendam,5,0
2020-12-01,Hellevoetsluis,10,0
2020-12-01,Hendrik-Ido-Ambacht,3,0
2020-12-01,Hillegom,3,0
2020-12-01,Katwijk,17,0
2020-12-01,Krimpen aan den IJssel,8,0
2020-12-01,Leiden,18,1
2020-12-01,Leiderdorp,5,0
2020-12-01,Lisse,4,0
2020-12-01,Maassluis,9,0
2020-12-01,Nieuwkoop,4,1
2020-12-01,Noordwijk,8,0
2020-12-01,Oegstgeest,2,1
2020-12-01,Papendrecht,1,0
2020-12-01,Ridderkerk,7,0
2020-12-01,Rotterdam,162,0
2020-12-01,Rijswijk,6,0
2020-12-01,Schiedam,30,0
2020-12-01,Sliedrecht,4,0
2020-12-01,Albrandswaard,4,0
2020-12-01,Westvoorne,2,0
2020-12-01,Vlaardingen,22,0
2020-12-01,Voorschoten,5,0
2020-12-01,Waddinxveen,4,0
2020-12-01,Wassenaar,5,0
2020-12-01,Zoetermeer,41,0
2020-12-01,Zoeterwoude,0,0
2020-12-01,Zwijndrecht,5,0
2020-12-01,Teylingen,6,0
2020-12-01,Lansingerland,25,0
2020-12-01,Westland,39,0
2020-12-01,Midden-Delfland,12,1
2020-12-01,Kaag en Braassem,3,0
2020-12-01,Zuidplas,7,0
2020-12-01,Bodegraven-Reeuwijk,9,0
2020-12-01,Leidschendam-Voorburg,25,3
2020-12-01,Goeree-Overflakkee,8,0
2020-12-01,Pijnacker-Nootdorp,17,0
2020-12-01,Nissewaard,17,2
2020-12-01,Krimpenerwaard,4,0
2020-12-01,Hoeksche Waard,20,0
2020-12-01,Molenlanden,1,0
2020-12-02,Alblasserdam,8,0
2020-12-02,Alphen aan den Rijn,36,0
2020-12-02,Barendrecht,15,0
2020-12-02,Brielle,10,0
2020-12-02,Capelle aan den IJssel,20,0
2020-12-02,Delft,40,2
2020-12-02,Dordrecht,67,0
2020-12-02,Gorinchem,25,0
2020-12-02,Gouda,41,0
2020-12-02,'s-Gravenhage,151,0
2020-12-02,Hardinxveld-Giessendam,12,0
2020-12-02,Hellevoetsluis,9,0
2020-12-02,Hendrik-Ido-Ambacht,13,0
2020-12-02,Hillegom,2,0
2020-12-02,Katwijk,25,0
2020-12-02,Krimpen aan den IJssel,13,0
2020-12-02,Leiden,25,0
2020-12-02,Leiderdorp,8,0
2020-12-02,Lisse,9,0
2020-12-02,Maassluis,7,0
2020-12-02,Nieuwkoop,14,0
2020-12-02,Noordwijk,13,0
2020-12-02,Oegstgeest,5,0
2020-12-02,Papendrecht,13,0
2020-12-02,Ridderkerk,19,1
2020-12-02,Rotterdam,282,1
2020-12-02,Rijswijk,15,0
2020-12-02,Schiedam,38,0
2020-12-02,Sliedrecht,19,2
2020-12-02,Albrandswaard,13,0
2020-12-02,Westvoorne,1,0
2020-12-02,Vlaardingen,39,0
2020-12-02,Voorschoten,3,0
2020-12-02,Waddinxveen,13,0
2020-12-02,Wassenaar,11,1
2020-12-02,Zoetermeer,34,0
2020-12-02,Zoeterwoude,5,0
2020-12-02,Zwijndrecht,24,0
2020-12-02,Teylingen,14,0
2020-12-02,Lansingerland,31,0
2020-12-02,Westland,75,2
2020-12-02,Midden-Delfland,3,0
2020-12-02,Kaag en Braassem,5,0
2020-12-02,Zuidplas,17,0
2020-12-02,Bodegraven-Reeuwijk,14,0
2020-12-02,Leidschendam-Voorburg,23,2
2020-12-02,Goeree-Overflakkee,21,0
2020-12-02,Pijnacker-Nootdorp,21,0
2020-12-02,Nissewaard,22,0
2020-12-02,Krimpenerwaard,15,0
2020-12-02,Hoeksche Waard,18,0
2020-12-02,Molenlanden,20,0
2020-12-03,Alblasserdam,3,0
2020-12-03,Alphen aan den Rijn,45,1
2020-12-03,Barendrecht,19,0
2020-12-03,Brielle,3,0
2020-12-03,Capelle aan den IJssel,22,1
2020-12-03,Delft,32,1
2020-12-03,Dordrecht,70,1
2020-12-03,Gorinchem,14,0
2020-12-03,Gouda,32,0
2020-12-03,'s-Gravenhage,134,0
2020-12-03,Hardinxveld-Giessendam,15,0
2020-12-03,Hellevoetsluis,5,0
2020-12-03,Hendrik-Ido-Ambacht,14,0
2020-12-03,Hillegom,10,0
2020-12-03,Katwijk,27,0
2020-12-03,Krimpen aan den IJssel,15,0
