Date_of_publication,Municipality_name,Total_reported,Deceased
2022-01-01,Alblasserdam,5,0
2022-01-01,Alphen aan den Rijn,91,0
2022-01-01,Barendrecht,44,0
2022-01-01,Brielle,7,0
2022-01-01,Capelle aan den IJssel,69,1
2022-01-01,Delft,70,0
2022-01-01,Dordrecht,43,0
2022-01-01,Gorinchem,6,1
2022-01-01,Gouda,34,0
2022-01-01,'s-Gravenhage,346,0
2022-01-01,Hardinxveld-Giessendam,9,1
2022-01-01,Hellevoetsluis,24,0
2022-01-01,Hendrik-Ido-Ambacht,11,0
2022-01-01,Hillegom,17,0
2022-01-01,Katwijk,57,0
2022-01-01,Krimpen aan den IJssel,28,0
2022-01-01,Leiden,107,0
2022-01-01,Leiderdorp,11,0
2022-01-01,Lisse,13,0
2022-01-01,Maassluis,32,0
2022-01-01,Nieuwkoop,17,0
2022-01-01,Noordwijk,31,0
2022-01-01,Oegstgeest,24,0
2022-01-01,Papendrecht,16,0
2022-01-01,Ridderkerk,55,0
2022-01-01,Rotterdam,657,2
2022-01-01,Rijswijk,26,0
2022-01-01,Schiedam,77,0
2022-01-01,Sliedrecht,6,0
2022-01-01,Albrandswaard,24,0
2022-01-01,Westvoorne,8,0
2022-01-01,Vlaardingen,67,0
2022-01-01,Voorschoten,16,0
2022-01-01,Waddinxveen,12,0
2022-01-01,Wassenaar,19,0
2022-01-01,Zoetermeer,125,0
2022-01-01,Zoeterwoude,7,0
2022-01-01,Zwijndrecht,19,0
2022-01-01,Teylingen,21,0
2022-01-01,Lansingerland,56,0
2022-01-01,Westland,85,0
2022-01-01,Midden-Delfland,20,0
2022-01-01,Kaag en Braassem,13,0
2022-01-01,Zuidplas,27,0
2022-01-01,Bodegraven-Reeuwijk,42,0
2022-01-01,Leidschendam-Voorburg,66,0
2022-01-01,Goeree-Overflakkee,40,0
2022-01-01,Pijnacker-Nootdorp,43,0
2022-01-01,Nissewaard,67,0
2022-01-01,Krimpenerwaard,44,0
2022-01-01,Hoeksche Waard,41,0
2022-01-01,Molenlanden,14,0
2022-01-02,Alblasserdam,15,0
2022-01-02,Alphen aan den Rijn,165,0
2022-01-02,Barendrecht,68,0
2022-01-02,Brielle,18,0
2022-01-02,Capelle aan den IJssel,110,0
2022-01-02,Delft,83,0
2022-01-02,Dordrecht,90,0
2022-01-02,Gorinchem,36,0
2022-01-02,Gouda,86,0
