Date_of_publication,Municipality_name,Total_reported,Deceased
2021-07-01,Alblasserdam,6,0
2021-07-01,Alphen aan den Rijn,7,0
2021-07-01,Barendrecht,3,0
2021-07-01,Brielle,1,1
2021-07-01,Capelle aan den IJssel,3,0
2021-07-01,Delft,4,1
2021-07-01,Dordrecht,4,0
2021-07-01,Gorinchem,2,1
2021-07-01,Gouda,0,0
2021-07-01,'s-Gravenhage,15,0
2021-07-01,Hardinxveld-Giessendam,3,0
2021-07-01,Hellevoetsluis,3,0
2021-07-01,Hendrik-Ido-Ambacht,1,0
2021-07-01,Hillegom,2,0
2021-07-01,Katwijk,6,0
2021-07-01,Krimpen aan den IJssel,0,0
2021-07-01,Leiden,5,0
2021-07-01,Leiderdorp,0,0
2021-07-01,Lisse,2,0
2021-07-01,Maassluis,2,0
2021-07-01,Nieuwkoop,2,0
2021-07-01,Noordwijk,6,0
2021-07-01,Oegstgeest,2,0
2021-07-01,Papendrecht,1,0
2021-07-01,Ridderkerk,3,0
2021-07-01,Rotterdam,71,0
2021-07-01,Rijswijk,2,0
2021-07-01,Schiedam,4,0
2021-07-01,Sliedrecht,1,0
2021-07-01,Albrandswaard,2,0
2021-07-01,Westvoorne,0,0
2021-07-01,Vlaardingen,2,0
2021-07-01,Voorschoten,0,0
2021-07-01,Waddinxveen,0,0
2021-07-01,Wassenaar,1,0
2021-07-01,Zoetermeer,4,0
2021-07-01,Zoeterwoude,0,0
2021-07-01,Zwijndrecht,1,0
2021-07-01,Teylingen,4,0
2021-07-01,Lansingerland,3,0
2021-07-01,Westland,10,0
2021-07-01,Midden-Delfland,1,0
2021-07-01,Kaag en Braassem,1,0
2021-07-01,Zuidplas,2,0
2021-07-01,Bodegraven-Reeuwijk,6,0
2021-07-01,Leidschendam-Voorburg,4,0
2021-07-01,Goeree-Overflakkee,5,0
2021-07-01,Pijnacker-Nootdorp,2,0
2021-07-01,Nissewaard,7,0
2021-07-01,Krimpenerwaard,4,0
2021-07-01,Hoeksche Waard,5,0
2021-07-01,Molenlanden,8,0
2021-07-02,Alblasserdam,7,0
2021-07-02,Alphen aan den Rijn,5,0
2021-07-02,Barendrecht,4,0
2021-07-02,Brielle,1,0
2021-07-02,Capelle aan den IJssel,3,0
2021-07-02,Delft,4,0
2021-07-02,Dordrecht,3,0
2021-07-02,Gorinchem,3,1
