Municipality_name,Total_reported,Deceased,<5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder,Total,pop_density,Totaal niet-Nederlandse nationaliteit,Afrika,Amerika,Azië,Europa (ex. NL),Oceanië,Avg personal income per inhabitant,40% households with lowest income,20% households with highest income,Positive tests per 100000,Farming Forestry and Fishery,Industry and energy,Commercial service,Non-commercial service
's-Gravenhage,6409,46,31125,31221,30207,31158,36820,164274,141195,60596,19242,545838,6620,101420,8054,4808,14008,71969,424,27.1,48.4,17.3,1174.1579,0.9,11,128.5,144.7
Alblasserdam,362,3,1242,1324,1320,1313,1172,4570,5241,2892,1091,20165,2297,654,45,11,137,413,1,25,35.7,21.7,1795.189685,0,2.1,6.2,1.2
Albrandswaard,434,1,1260,1570,1716,1672,1228,5718,7964,3453,1009,25590,1180,827,103,31,215,424,1,32.1,26,34.2,1695.97499,0,0.5,5.4,2.1
Alphen aan den Rijn,2137,15,5678,6233,6411,6977,6243,27508,31451,16604,4792,111897,886,5541,487,146,1077,3636,9,28.3,32.4,23.7,1909.792041,1.6,5.2,21.9,12.4
Barendrecht,657,3,2450,2996,3315,3660,2684,10241,14750,6539,2079,48714,2467,1542,140,70,451,770,1,30.5,25.2,33.3,1348.688262,0.1,2.3,19.7,5.4
Bodegraven-Reeuwijk,742,6,2020,2008,2087,2302,1891,7835,9660,5398,1671,34872,463,1225,113,33,240,770,3,28.7,27.7,28.8,2127.781601,0.3,2.4,9.2,2.3
Brielle,235,4,740,811,850,999,861,3812,5300,2990,908,17271,627,758,39,22,120,547,1,31.7,28.2,26.8,1360.662382,0.3,0.7,3.1,1.7
Capelle aan den IJssel,980,14,3471,3682,3585,3867,3757,16276,18743,10447,3294,67122,4747,4166,308,234,1334,2049,5,26.8,40.5,18.8,1460.028009,0,3.5,22.1,9.6
Delft,1250,19,4421,4300,4032,5885,14603,30220,23650,12549,3935,103595,4573,15948,875,1122,5428,8109,111,25.6,57,14,1206.621941,0,5.8,26,25.3
Dordrecht,1980,9,5872,6515,6216,7004,7017,30227,33460,17212,5761,119284,1519,8261,756,208,1109,5815,18,26.1,41.7,17.6,1659.904094,0,9,27.2,21.4
Goeree-Overflakkee,755,12,2445,2646,2908,3078,2627,10839,14552,8231,2723,50049,192,1154,142,29,324,623,1,27.2,33.6,23.5,1508.521649,0.7,2.6,8.5,7.6
Gorinchem,740,4,1923,1979,2059,2304,2149,9288,10537,5072,1711,37022,1966,2381,372,59,375,1474,0,26.7,41.3,19.5,1998.811517,0,4.3,13.7,0
Gouda,1175,28,3840,3985,4198,4472,4276,18458,20115,10628,3455,73427,4449,4330,840,149,728,2386,9,27,39.4,19.5,1600.228799,0,0,17.4,15.5
Hardinxveld-Giessendam,473,1,1172,1165,1217,1226,1118,4376,4601,2483,937,18295,1082,409,61,6,107,206,0,24.9,31.1,24.1,2585.405849,0,2.9,4.4,1.9
Hellevoetsluis,445,4,1787,2030,2310,2275,2015,9213,11886,7008,1618,40142,977,1573,110,63,328,970,2,28.9,32.2,22.3,1108.564596,0,0.9,4.8,2.8
Hendrik-Ido-Ambacht,515,9,2076,2271,2111,1985,1587,7837,8127,3851,1357,31202,2940,711,52,22,233,328,0,28,26.8,28.6,1650.535222,0,1.1,5.2,0
Hoeksche Waard,1044,4,4129,4569,4929,5486,4420,18431,25829,15114,4494,87401,325,1985,245,74,611,888,7,28.9,28.7,26.5,1194.494342,0.6,6.2,15.5,7.6
Kaag en Braassem,447,0,1299,1440,1442,1697,1486,5998,8256,4403,1276,27297,432,1093,73,49,182,731,0,29,29.9,28.6,1637.542587,0.7,1.8,3.9,1.6
Katwijk,1523,6,3816,4073,4185,4230,3869,16301,17402,9177,2700,65753,2657,2590,252,87,484,1549,1,25.6,31.9,23.8,2316.244126,0.5,2.8,13.9,6.1
Katwijk,1523,6,3816,4073,4185,4230,3869,16301,17402,9177,2700,65753,2657,2590,252,87,484,1549,1,28.1,21.8,28.2,2316.244126,0.5,2.8,13.9,6.1
Krimpen aan den IJssel,664,10,1577,1695,1803,1977,1614,5996,7692,5146,2026,29526,3841,744,70,27,277,311,1,26.6,34.4,21.8,2248.865407,0,1.6,3.5,2.4
Krimpenerwaard,933,5,2955,3088,3324,3692,3296,12229,15808,9001,2926,56319,380,1553,236,39,372,819,2,27.1,32.2,24.5,1656.634528,0.3,4.2,7.8,4.5
Lansingerland,1129,5,3968,4694,4531,4243,3031,14713,17578,7272,2354,62384,1168,2097,209,91,595,1079,3,30.9,22.7,37.1,1809.758913,3.1,2.7,18.8,4.7
Leiden,1411,5,5335,5399,5392,6855,15300,37349,30170,14932,4367,125099,5710,14547,959,1194,2973,8973,104,28.3,52,17,1127.906698,0,7,26.5,36.8
Leiderdorp,389,6,1309,1489,1499,1632,1412,5660,7834,4624,1597,27056,2337,1255,128,66,347,656,5,30.3,31.2,26.2,1437.758723,0,0,3.8,7.1
Leidschendam-Voorburg,1178,14,4007,4280,4080,4019,3301,18463,20817,12606,4961,76534,2351,6993,578,370,1932,3840,19,31.7,37.5,24,1539.185199,0.1,0.7,8.1,8.8
Lisse,459,6,1099,1184,1229,1422,1131,5006,6654,3876,1354,22955,1463,1101,65,33,174,793,0,28.1,34,23.1,1999.564365,0.3,1.3,4.8,2
Maassluis,534,6,1767,1735,1754,1841,1741,7891,8826,5978,1680,33213,3918,2188,255,45,313,1493,1,26.4,37.8,18.5,1607.804173,0,1.1,3.9,2.4
Midden-Delfland,388,4,974,1173,1124,1303,1168,4028,5899,2709,963,19341,410,629,77,31,169,316,3,30.6,25,35.1,2006.101029,0.6,1.6,4,2
Molenlanden,795,5,2362,2740,2940,3324,2864,9380,11998,6517,1784,43909,242,1015,84,31,243,588,1,26.4,28,28.3,1810.562755,0,5.1,6.7,0
Nieuwkoop,582,6,1444,1487,1588,1711,1599,6406,8626,4664,1286,28811,369,1148,97,22,210,779,4,28.8,27.8,28.6,2020.061782,0.8,1.4,3.5,2.6
Nissewaard,1024,14,4324,4502,4453,4728,4664,20787,24722,13360,3679,85219,1158,3589,222,152,831,2190,7,27,37.2,19.2,1201.60997,0.1,2,10.7,7.2
Noordwijk,694,4,1900,2185,2261,2528,2428,9807,12819,7400,2180,43508,745,3414,130,74,356,2782,7,29.9,34.5,24.8,1595.108945,0.5,1.6,10.1,5.8
Oegstgeest,447,15,1376,1584,1549,1633,1097,5475,7066,3659,1401,24840,3399,2081,88,114,346,1479,12,37.7,25.7,36.2,1799.516908,0,0,3,3.2
Papendrecht,561,8,1530,1772,1879,1975,1741,7231,8831,5389,1788,32136,3414,972,96,39,227,521,2,27.5,32.3,22.1,1745.705751,0,5.1,6.1,0
Pijnacker-Nootdorp,971,3,3036,3663,4184,4147,3003,12761,16287,6069,2158,55308,1491,2711,179,150,885,1383,9,30.5,23.9,35.8,1755.623056,0.9,1.6,9.6,5.1
Ridderkerk,692,16,2330,2362,2293,2473,2398,10185,12737,8264,3147,46189,1948,1638,182,46,446,801,5,26.3,38.3,18.8,1498.19221,0.4,3.5,12.7,5.1
Rijswijk,718,9,3427,3064,2589,2481,2441,14688,13918,8315,3527,54450,3901,5240,390,256,1247,3143,13,28.8,41.9,18.9,1318.640955,0.1,1.9,18.4,9.7
Rotterdam,7810,66,36158,34742,32629,35610,51274,200825,159775,74091,26053,651157,2993,81077,8068,4300,13317,52117,203,25.2,52.9,13.9,1199.403523,0.3,42.7,211.7,144
Schiedam,975,13,4264,4074,4043,4346,4980,21772,21566,10245,3440,78730,4417,10117,601,330,1196,7702,16,25,45.6,15,1238.409755,0,5.9,17.3,10.4
Sliedrecht,680,11,1499,1554,1472,1526,1438,6249,6382,3635,1465,25220,1965,811,88,22,173,454,1,24.7,37.2,19.1,2696.272799,0,3.3,7.6,0
Teylingen,785,3,1867,1986,2167,2537,2074,8226,11273,5328,1982,37440,1319,1940,139,71,324,1333,14,31.2,28.2,30.3,2096.688034,0.2,3.2,9.3,3.9
Vlaardingen,966,2,3969,3999,3774,3853,4147,18601,19488,11236,4330,73397,3114,5997,428,141,627,4592,5,25.5,45,15.7,1316.130087,0.2,3.7,8.4,6.9
Voorschoten,331,3,1277,1511,1679,1601,1173,5264,7115,4248,1728,25596,2297,1691,103,87,337,1113,12,33.1,29.7,31.2,1293.170808,0,0.4,2.8,2.1
Waddinxveen,498,2,1889,1739,1620,1724,1537,7455,7579,4324,1424,29291,1055,1310,137,27,199,899,0,26.9,31,23.8,1700.180943,0,0,8.3,2.3
Wassenaar,362,8,1066,1459,1826,1959,1110,4245,7894,4605,2141,26305,515,4009,169,661,591,2494,47,46.5,32.4,35.7,1376.164227,0,0.6,3,3.1
Westland,2583,19,5865,6032,6452,6644,6452,27052,30475,16185,5218,110375,1358,7224,457,99,729,5753,11,27.3,32.3,26.5,2340.203851,9.3,9.2,45.5,10
Westvoorne,146,3,536,632,755,797,683,2594,4794,2896,1044,14731,277,387,17,16,109,230,1,34.2,27.8,32.3,991.1071889,0.2,0.3,1.6,1
Zoetermeer,1968,8,6594,7178,7287,7442,6837,30994,34957,19150,4846,125285,3637,5462,583,270,1577,2775,11,27.7,35.3,21.1,1570.818534,0.1,5,27.7,20.2
Zoeterwoude,123,0,394,454,485,550,457,1811,2669,1373,412,8605,406,246,18,10,74,126,0,29.6,25.9,30.4,1429.401511,0,2.2,2.5,1.3
Zuidplas,690,6,2631,2677,2610,2764,2327,10202,12537,6302,1835,43885,756,1501,189,54,316,830,4,29,28,29.4,1572.291216,1,3.7,7.9,3.1
Zwijndrecht,684,3,2348,2398,2452,2509,2408,10632,11833,7309,2848,44737,2204,1924,247,46,439,1057,6,26,39,18.2,1528.93578,0,3.8,10.6,4.9
