Municipality_name,Total_reported,Deceased,<5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder,Total,pop_density,Totaal niet-Nederlandse nationaliteit,Afrika,Amerika,Azië,Europa (ex. NL),Oceanië,Avg personal income per inhabitant,40% households with lowest income,20% households with highest income,Positive tests per 100000,Farming Forestry and Fishery,Industry and energy,Commercial service,Non-commercial service
's-Gravenhage,47796,10,31125,31221,30207,31158,36820,164274,141195,60596,19242,553417,6712,107394,7396,4923,13715,79464,362,27.1,48.4,17.3,8636.52544103271,0.9,11.0,128.5,144.7
Alblasserdam,1474,3,1242,1324,1320,1313,1172,4570,5241,2892,1091,20087,2290,622,43,14,137,406,1,25,35.7,21.7,7338.079354806591,0.0,2.1,6.2,1.2
Albrandswaard,2159,0,1260,1570,1716,1672,1228,5718,7964,3453,1009,25934,1197,831,69,44,179,494,1,32.1,26,34.2,8324.978792318963,0.0,0.5,5.4,2.1
Alphen aan den Rijn,8915,1,5678,6233,6411,6977,6243,27508,31451,16604,4792,112926,897,5582,373,169,953,3949,9,28.3,32.4,23.7,7894.550413545154,1.6,5.2,21.9,12.4
Barendrecht,4017,0,2450,2996,3315,3660,2684,10241,14750,6539,2079,48714,2488,1578,125,80,396,905,1,30.5,25.2,33.3,8246.089419879296,0.1,2.3,19.7,5.4
Bodegraven-Reeuwijk,2911,0,2020,2008,2087,2302,1891,7835,9660,5398,1671,35752,474,1344,123,42,218,907,3,28.7,27.7,28.8,8142.201834862385,0.3,2.4,9.2,2.3
Brielle,1070,1,740,811,850,999,861,3812,5300,2990,908,17704,643,797,30,26,97,630,0,31.7,28.2,26.8,6043.831902394939,0.3,0.7,3.1,1.7
Capelle aan den IJssel,5310,1,3471,3682,3585,3867,3757,16276,18743,10447,3294,67188,4751,4587,357,226,1410,2435,5,26.8,40.5,18.8,7903.19699946419,0.0,3.5,22.1,9.6
Delft,8294,4,4421,4300,4032,5885,14603,30220,23650,12549,3935,104572,4614,16746,938,1059,5271,9206,50,25.6,57,14,7931.377424167081,0.0,5.8,26.0,25.3
Dordrecht,9302,2,5872,6515,6216,7004,7017,30227,33460,17212,5761,119537,1541,8354,622,248,1014,6165,19,26.1,41.7,17.6,7781.691024536336,0.0,9.0,27.2,21.4
Goeree-Overflakkee,3480,1,2445,2646,2908,3078,2627,10839,14552,8231,2723,51051,195,1154,126,32,242,729,1,27.2,33.6,23.5,6816.71269906564,0.7,2.6,8.5,7.6
Gorinchem,2912,2,1923,1979,2059,2304,2149,9288,10537,5072,1711,37632,2011,2292,327,58,283,1571,3,26.7,41.3,19.5,7738.0952380952385,.,4.3,13.7,.
Gouda,5991,1,3840,3985,4198,4472,4276,18458,20115,10628,3455,74095,4491,4525,703,155,737,2772,11,27,39.4,19.5,8085.565827653687,.,.,17.4,15.5
Hardinxveld-Giessendam,1326,1,1172,1165,1217,1226,1118,4376,4601,2483,937,18511,1098,423,54,8,93,252,0,24.9,31.1,24.1,7163.308303171087,0.0,2.9,4.4,1.9
Hellevoetsluis,2226,1,1787,2030,2310,2275,2015,9213,11886,7008,1618,40574,988,1681,117,53,327,1110,2,28.9,32.2,22.3,5486.27199684527,0.0,0.9,4.8,2.8
Hendrik-Ido-Ambacht,2739,0,2076,2271,2111,1985,1587,7837,8127,3851,1357,31663,3108,637,41,30,176,333,1,28,26.8,28.6,8650.475318194738,.,1.1,5.2,.
Hoeksche Waard,6511,1,4129,4569,4929,5486,4420,18431,25829,15114,4494,88715,330,1973,209,82,533,1043,6,28.9,28.7,26.5,7339.232373330327,0.6,6.2,15.5,7.6
Kaag en Braassem,2235,0,1299,1440,1442,1697,1486,5998,8256,4403,1276,27895,442,1205,92,54,167,863,0,29,29.9,28.6,8012.188564258828,0.7,1.8,3.9,1.6
Katwijk,6344,0,3816,4073,4185,4230,3869,16301,17402,9177,2700,66032,2662,2725,293,92,617,1575,2,25.6,31.9,23.8,9607.463048219044,0.5,2.8,13.9,6.1
Katwijk,6344,0,3816,4073,4185,4230,3869,16301,17402,9177,2700,66032,2662,2725,293,92,617,1575,2,28.1,21.8,28.2,9607.463048219044,0.5,2.8,13.9,6.1
Krimpen aan den IJssel,2237,0,1577,1695,1803,1977,1614,5996,7692,5146,2026,29415,3833,749,82,43,250,347,1,26.6,34.4,21.8,7604.963454020059,0.0,1.6,3.5,2.4
Krimpenerwaard,4157,1,2955,3088,3324,3692,3296,12229,15808,9001,2926,57062,385,1549,207,42,353,896,1,27.1,32.2,24.5,7285.05835757597,0.3,4.2,7.8,4.5
Lansingerland,5389,0,3968,4694,4531,4243,3031,14713,17578,7272,2354,64110,1203,2188,201,124,575,1225,4,30.9,22.7,37.1,8405.864919669319,3.1,2.7,18.8,4.7
Leiden,10257,0,5335,5399,5392,6855,15300,37349,30170,14932,4367,125074,5724,14459,895,996,2584,9666,65,28.3,52,17,8200.745158865951,0.0,7.0,26.5,36.8
Leiderdorp,2061,0,1309,1489,1499,1632,1412,5660,7834,4624,1597,27464,2389,1388,95,69,316,852,4,30.3,31.2,26.2,7504.369356248179,.,.,3.8,7.1
