Date_of_publication,Municipality_name,Total_reported,Deceased
2020-04-01,'s-Gravenhage,23,6
2020-04-02,'s-Gravenhage,36,1
2020-04-03,'s-Gravenhage,28,2
2020-04-04,'s-Gravenhage,41,2
2020-04-05,'s-Gravenhage,37,2
2020-04-06,'s-Gravenhage,17,7
2020-04-07,'s-Gravenhage,21,7
2020-04-08,'s-Gravenhage,28,4
2020-04-09,'s-Gravenhage,33,0
2020-04-10,'s-Gravenhage,34,5
2020-04-11,'s-Gravenhage,43,2
2020-04-12,'s-Gravenhage,29,0
2020-04-13,'s-Gravenhage,37,4
2020-04-14,'s-Gravenhage,18,2
2020-04-15,'s-Gravenhage,23,2
2020-04-16,'s-Gravenhage,41,13
2020-04-17,'s-Gravenhage,31,5
2020-04-18,'s-Gravenhage,56,7
2020-04-19,'s-Gravenhage,54,8
2020-04-20,'s-Gravenhage,23,0
2020-04-21,'s-Gravenhage,17,7
2020-04-22,'s-Gravenhage,33,9
2020-04-23,'s-Gravenhage,40,8
2020-04-24,'s-Gravenhage,36,8
2020-04-25,'s-Gravenhage,36,5
2020-04-26,'s-Gravenhage,29,1
2020-04-27,'s-Gravenhage,21,1
2020-04-28,'s-Gravenhage,3,4
2020-04-29,'s-Gravenhage,9,12
2020-04-30,'s-Gravenhage,26,2
2020-04-01,Alblasserdam,4,0
2020-04-02,Alblasserdam,0,0
2020-04-03,Alblasserdam,1,0
2020-04-04,Alblasserdam,0,0
2020-04-05,Alblasserdam,0,0
2020-04-06,Alblasserdam,1,0
2020-04-07,Alblasserdam,1,0
2020-04-08,Alblasserdam,0,0
2020-04-09,Alblasserdam,2,0
2020-04-10,Alblasserdam,2,0
2020-04-11,Alblasserdam,3,0
2020-04-12,Alblasserdam,0,0
2020-04-13,Alblasserdam,2,0
2020-04-14,Alblasserdam,1,0
2020-04-15,Alblasserdam,0,0
2020-04-16,Alblasserdam,1,0
2020-04-17,Alblasserdam,2,1
2020-04-18,Alblasserdam,4,0
2020-04-19,Alblasserdam,0,0
2020-04-20,Alblasserdam,2,0
2020-04-21,Alblasserdam,0,0
2020-04-22,Alblasserdam,1,0
2020-04-23,Alblasserdam,1,0
2020-04-24,Alblasserdam,0,0
2020-04-25,Alblasserdam,0,0
2020-04-26,Alblasserdam,1,0
2020-04-27,Alblasserdam,0,0
2020-04-28,Alblasserdam,0,0
2020-04-29,Alblasserdam,1,0
2020-04-30,Alblasserdam,0,0
2020-04-01,Albrandswaard,2,0
2020-04-02,Albrandswaard,2,0
2020-04-03,Albrandswaard,1,0
2020-04-04,Albrandswaard,1,0
2020-04-05,Albrandswaard,0,0
2020-04-06,Albrandswaard,7,0
2020-04-07,Albrandswaard,0,0
2020-04-08,Albrandswaard,1,0
2020-04-09,Albrandswaard,5,1
2020-04-10,Albrandswaard,3,0
2020-04-11,Albrandswaard,6,1
2020-04-12,Albrandswaard,2,0
2020-04-13,Albrandswaard,0,0
