Date_of_publication,Municipality_name,Total_reported,Deceased
2020-08-01,'s-Gravenhage,41,1
2020-08-02,'s-Gravenhage,41,0
2020-08-03,'s-Gravenhage,31,0
2020-08-04,'s-Gravenhage,35,0
2020-08-05,'s-Gravenhage,24,1
2020-08-06,'s-Gravenhage,59,0
2020-08-07,'s-Gravenhage,38,0
2020-08-08,'s-Gravenhage,45,0
2020-08-09,'s-Gravenhage,30,0
2020-08-10,'s-Gravenhage,48,0
2020-08-11,'s-Gravenhage,43,1
2020-08-12,'s-Gravenhage,39,0
2020-08-13,'s-Gravenhage,47,0
2020-08-14,'s-Gravenhage,55,0
2020-08-15,'s-Gravenhage,47,1
2020-08-16,'s-Gravenhage,27,1
2020-08-17,'s-Gravenhage,45,0
2020-08-18,'s-Gravenhage,41,0
2020-08-19,'s-Gravenhage,37,3
2020-08-20,'s-Gravenhage,39,0
2020-08-21,'s-Gravenhage,31,0
2020-08-22,'s-Gravenhage,58,0
2020-08-23,'s-Gravenhage,30,0
2020-08-24,'s-Gravenhage,60,1
2020-08-25,'s-Gravenhage,22,0
2020-08-26,'s-Gravenhage,53,1
2020-08-27,'s-Gravenhage,40,0
2020-08-28,'s-Gravenhage,27,0
2020-08-29,'s-Gravenhage,43,0
2020-08-30,'s-Gravenhage,58,0
2020-08-31,'s-Gravenhage,61,0
2020-08-01,Alblasserdam,0,0
2020-08-02,Alblasserdam,0,0
2020-08-03,Alblasserdam,1,0
2020-08-04,Alblasserdam,0,0
2020-08-05,Alblasserdam,0,0
2020-08-06,Alblasserdam,1,0
2020-08-07,Alblasserdam,0,0
2020-08-08,Alblasserdam,0,0
2020-08-09,Alblasserdam,0,0
2020-08-10,Alblasserdam,1,0
2020-08-11,Alblasserdam,1,0
2020-08-12,Alblasserdam,0,0
2020-08-13,Alblasserdam,0,0
2020-08-14,Alblasserdam,1,0
2020-08-15,Alblasserdam,0,0
2020-08-16,Alblasserdam,0,0
2020-08-17,Alblasserdam,0,0
2020-08-18,Alblasserdam,0,0
2020-08-19,Alblasserdam,0,0
2020-08-20,Alblasserdam,0,0
2020-08-21,Alblasserdam,1,0
2020-08-22,Alblasserdam,0,0
2020-08-23,Alblasserdam,0,0
2020-08-24,Alblasserdam,0,0
2020-08-25,Alblasserdam,0,0
2020-08-26,Alblasserdam,0,0
2020-08-27,Alblasserdam,0,0
2020-08-28,Alblasserdam,0,0
2020-08-29,Alblasserdam,0,0
2020-08-30,Alblasserdam,1,0
2020-08-31,Alblasserdam,0,0
2020-08-01,Albrandswaard,0,0
2020-08-02,Albrandswaard,1,0
2020-08-03,Albrandswaard,0,0
2020-08-04,Albrandswaard,0,0
2020-08-05,Albrandswaard,2,0
2020-08-06,Albrandswaard,2,0
2020-08-07,Albrandswaard,1,0
2020-08-08,Albrandswaard,1,0
2020-08-09,Albrandswaard,2,0
2020-08-10,Albrandswaard,0,0
2020-08-11,Albrandswaard,0,0
2020-08-12,Albrandswaard,3,0
2020-08-13,Albrandswaard,0,0
2020-08-14,Albrandswaard,0,0
2020-08-15,Albrandswaard,1,0
2020-08-16,Albrandswaard,1,0
2020-08-17,Albrandswaard,0,0
2020-08-18,Albrandswaard,0,0
2020-08-19,Albrandswaard,1,0
2020-08-20,Albrandswaard,3,0
2020-08-21,Albrandswaard,2,0
2020-08-22,Albrandswaard,0,0
2020-08-23,Albrandswaard,1,0
2020-08-24,Albrandswaard,1,0
2020-08-25,Albrandswaard,0,0
2020-08-26,Albrandswaard,0,0
2020-08-27,Albrandswaard,0,0
2020-08-28,Albrandswaard,1,0
2020-08-29,Albrandswaard,3,0
2020-08-30,Albrandswaard,0,0
2020-08-31,Albrandswaard,0,0
2020-08-01,Alphen aan den Rijn,2,0
2020-08-02,Alphen aan den Rijn,0,0
2020-08-03,Alphen aan den Rijn,0,0
2020-08-04,Alphen aan den Rijn,2,0
2020-08-05,Alphen aan den Rijn,0,0
2020-08-06,Alphen aan den Rijn,1,0
2020-08-07,Alphen aan den Rijn,1,0
2020-08-08,Alphen aan den Rijn,0,0
2020-08-09,Alphen aan den Rijn,2,0
2020-08-10,Alphen aan den Rijn,2,0
2020-08-11,Alphen aan den Rijn,2,0
2020-08-12,Alphen aan den Rijn,1,0
2020-08-13,Alphen aan den Rijn,6,0
2020-08-14,Alphen aan den Rijn,3,0
2020-08-15,Alphen aan den Rijn,1,0
2020-08-16,Alphen aan den Rijn,4,0
2020-08-17,Alphen aan den Rijn,0,0
2020-08-18,Alphen aan den Rijn,2,0
2020-08-19,Alphen aan den Rijn,3,0
2020-08-20,Alphen aan den Rijn,1,0
2020-08-21,Alphen aan den Rijn,1,0
2020-08-22,Alphen aan den Rijn,4,0
2020-08-23,Alphen aan den Rijn,2,0
2020-08-24,Alphen aan den Rijn,5,0
2020-08-25,Alphen aan den Rijn,3,0
2020-08-26,Alphen aan den Rijn,1,0
2020-08-27,Alphen aan den Rijn,2,0
2020-08-28,Alphen aan den Rijn,1,0
2020-08-29,Alphen aan den Rijn,0,0
2020-08-30,Alphen aan den Rijn,4,0
2020-08-31,Alphen aan den Rijn,2,0
2020-08-01,Barendrecht,0,0
2020-08-02,Barendrecht,2,0
2020-08-03,Barendrecht,1,0
2020-08-04,Barendrecht,3,0
2020-08-05,Barendrecht,4,0
2020-08-06,Barendrecht,2,0
2020-08-07,Barendrecht,3,0
2020-08-08,Barendrecht,2,0
2020-08-09,Barendrecht,6,0
2020-08-10,Barendrecht,0,0
2020-08-11,Barendrecht,5,0
2020-08-12,Barendrecht,6,0
2020-08-13,Barendrecht,1,0
2020-08-14,Barendrecht,0,0
2020-08-15,Barendrecht,5,0
2020-08-16,Barendrecht,2,0
2020-08-17,Barendrecht,2,0
2020-08-18,Barendrecht,2,0
2020-08-19,Barendrecht,1,0
2020-08-20,Barendrecht,2,0
2020-08-21,Barendrecht,1,0
2020-08-22,Barendrecht,1,0
2020-08-23,Barendrecht,3,0
2020-08-24,Barendrecht,0,0
2020-08-25,Barendrecht,2,0
2020-08-26,Barendrecht,3,0
2020-08-27,Barendrecht,1,0
2020-08-28,Barendrecht,0,0
2020-08-29,Barendrecht,0,0
2020-08-30,Barendrecht,4,0
2020-08-31,Barendrecht,0,0
2020-08-01,Bodegraven-Reeuwijk,1,0
2020-08-02,Bodegraven-Reeuwijk,0,0
2020-08-03,Bodegraven-Reeuwijk,0,0
2020-08-04,Bodegraven-Reeuwijk,1,0
2020-08-05,Bodegraven-Reeuwijk,0,0
2020-08-06,Bodegraven-Reeuwijk,2,0
2020-08-07,Bodegraven-Reeuwijk,4,0
2020-08-08,Bodegraven-Reeuwijk,3,0
2020-08-09,Bodegraven-Reeuwijk,5,0
2020-08-10,Bodegraven-Reeuwijk,5,0
2020-08-11,Bodegraven-Reeuwijk,2,0
2020-08-12,Bodegraven-Reeuwijk,4,0
2020-08-13,Bodegraven-Reeuwijk,2,0
2020-08-14,Bodegraven-Reeuwijk,1,0
2020-08-15,Bodegraven-Reeuwijk,2,0
2020-08-16,Bodegraven-Reeuwijk,0,0
2020-08-17,Bodegraven-Reeuwijk,2,0
2020-08-18,Bodegraven-Reeuwijk,0,0
2020-08-19,Bodegraven-Reeuwijk,0,0
2020-08-20,Bodegraven-Reeuwijk,2,0
2020-08-21,Bodegraven-Reeuwijk,0,0
2020-08-22,Bodegraven-Reeuwijk,2,0
2020-08-23,Bodegraven-Reeuwijk,3,0
2020-08-24,Bodegraven-Reeuwijk,1,0
2020-08-25,Bodegraven-Reeuwijk,0,0
2020-08-26,Bodegraven-Reeuwijk,2,0
2020-08-27,Bodegraven-Reeuwijk,1,0
2020-08-28,Bodegraven-Reeuwijk,0,0
2020-08-29,Bodegraven-Reeuwijk,1,0
2020-08-30,Bodegraven-Reeuwijk,1,0
2020-08-31,Bodegraven-Reeuwijk,0,0
2020-08-01,Brielle,0,0
2020-08-02,Brielle,0,0
2020-08-03,Brielle,0,0
2020-08-04,Brielle,0,0
2020-08-05,Brielle,0,0
2020-08-06,Brielle,1,0
2020-08-07,Brielle,0,0
2020-08-08,Brielle,0,0
2020-08-09,Brielle,1,0
2020-08-10,Brielle,0,0
2020-08-11,Brielle,1,0
2020-08-12,Brielle,1,0
