Date_of_publication,Municipality_name,Total_reported,Deceased
2020-07-01,'s-Gravenhage,5,0
2020-07-02,'s-Gravenhage,6,1
2020-07-03,'s-Gravenhage,8,0
2020-07-04,'s-Gravenhage,2,1
2020-07-05,'s-Gravenhage,2,0
2020-07-06,'s-Gravenhage,2,0
2020-07-07,'s-Gravenhage,5,2
2020-07-08,'s-Gravenhage,4,1
2020-07-09,'s-Gravenhage,2,0
2020-07-10,'s-Gravenhage,9,0
2020-07-11,'s-Gravenhage,7,2
2020-07-12,'s-Gravenhage,6,0
2020-07-13,'s-Gravenhage,9,0
2020-07-14,'s-Gravenhage,9,0
2020-07-15,'s-Gravenhage,9,0
2020-07-16,'s-Gravenhage,11,0
2020-07-17,'s-Gravenhage,7,0
2020-07-18,'s-Gravenhage,15,0
2020-07-19,'s-Gravenhage,3,0
2020-07-20,'s-Gravenhage,7,0
2020-07-21,'s-Gravenhage,10,0
2020-07-22,'s-Gravenhage,9,2
2020-07-23,'s-Gravenhage,17,0
2020-07-24,'s-Gravenhage,10,0
2020-07-25,'s-Gravenhage,5,1
2020-07-26,'s-Gravenhage,14,0
2020-07-27,'s-Gravenhage,16,0
2020-07-28,'s-Gravenhage,14,1
2020-07-29,'s-Gravenhage,9,0
2020-07-30,'s-Gravenhage,12,0
2020-07-31,'s-Gravenhage,43,0
2020-07-01,Alblasserdam,0,0
2020-07-02,Alblasserdam,0,0
2020-07-03,Alblasserdam,0,0
2020-07-04,Alblasserdam,0,0
2020-07-05,Alblasserdam,0,0
2020-07-06,Alblasserdam,0,0
2020-07-07,Alblasserdam,0,0
2020-07-08,Alblasserdam,0,0
2020-07-09,Alblasserdam,0,0
2020-07-10,Alblasserdam,0,0
2020-07-11,Alblasserdam,0,0
2020-07-12,Alblasserdam,0,0
2020-07-13,Alblasserdam,0,0
2020-07-14,Alblasserdam,0,0
2020-07-15,Alblasserdam,1,0
2020-07-16,Alblasserdam,0,0
2020-07-17,Alblasserdam,1,0
2020-07-18,Alblasserdam,0,0
2020-07-19,Alblasserdam,0,0
2020-07-20,Alblasserdam,0,0
2020-07-21,Alblasserdam,0,0
2020-07-22,Alblasserdam,0,0
2020-07-23,Alblasserdam,0,0
2020-07-24,Alblasserdam,1,0
2020-07-25,Alblasserdam,0,0
2020-07-26,Alblasserdam,0,0
2020-07-27,Alblasserdam,0,0
2020-07-28,Alblasserdam,0,0
2020-07-29,Alblasserdam,0,0
2020-07-30,Alblasserdam,0,0
2020-07-31,Alblasserdam,1,0
2020-07-01,Albrandswaard,0,0
2020-07-02,Albrandswaard,2,0
2020-07-03,Albrandswaard,0,0
2020-07-04,Albrandswaard,1,0
2020-07-05,Albrandswaard,1,0
2020-07-06,Albrandswaard,1,0
2020-07-07,Albrandswaard,0,0
2020-07-08,Albrandswaard,0,0
2020-07-09,Albrandswaard,0,0
2020-07-10,Albrandswaard,0,0
2020-07-11,Albrandswaard,0,0
2020-07-12,Albrandswaard,0,0
2020-07-13,Albrandswaard,0,0
2020-07-14,Albrandswaard,1,0
2020-07-15,Albrandswaard,0,0
2020-07-16,Albrandswaard,0,0
2020-07-17,Albrandswaard,0,0
2020-07-18,Albrandswaard,0,0
2020-07-19,Albrandswaard,1,0
2020-07-20,Albrandswaard,0,0
2020-07-21,Albrandswaard,1,0
2020-07-22,Albrandswaard,0,0
2020-07-23,Albrandswaard,2,0
2020-07-24,Albrandswaard,2,0
