Date_of_publication,Municipality_name,Total_reported,Deceased
2020-03-01,'s-Gravenhage,0,0
2020-03-02,'s-Gravenhage,0,0
2020-03-03,'s-Gravenhage,0,0
2020-03-04,'s-Gravenhage,0,0
2020-03-05,'s-Gravenhage,0,0
2020-03-06,'s-Gravenhage,2,0
2020-03-07,'s-Gravenhage,0,0
2020-03-08,'s-Gravenhage,0,0
2020-03-09,'s-Gravenhage,0,0
2020-03-10,'s-Gravenhage,1,0
2020-03-11,'s-Gravenhage,4,0
2020-03-12,'s-Gravenhage,0,0
2020-03-13,'s-Gravenhage,1,0
2020-03-14,'s-Gravenhage,1,0
2020-03-15,'s-Gravenhage,1,0
2020-03-16,'s-Gravenhage,4,0
2020-03-17,'s-Gravenhage,4,0
2020-03-18,'s-Gravenhage,4,0
2020-03-19,'s-Gravenhage,6,0
2020-03-20,'s-Gravenhage,9,0
2020-03-21,'s-Gravenhage,7,0
2020-03-22,'s-Gravenhage,3,0
2020-03-23,'s-Gravenhage,6,0
2020-03-24,'s-Gravenhage,10,0
2020-03-25,'s-Gravenhage,19,0
2020-03-26,'s-Gravenhage,23,0
2020-03-27,'s-Gravenhage,21,0
2020-03-28,'s-Gravenhage,35,0
2020-03-29,'s-Gravenhage,16,1
2020-03-30,'s-Gravenhage,6,1
2020-03-31,'s-Gravenhage,21,0
2020-03-01,Alblasserdam,0,0
2020-03-02,Alblasserdam,0,0
2020-03-03,Alblasserdam,0,0
2020-03-04,Alblasserdam,0,0
2020-03-05,Alblasserdam,0,0
2020-03-06,Alblasserdam,0,0
2020-03-07,Alblasserdam,0,0
2020-03-08,Alblasserdam,0,0
2020-03-09,Alblasserdam,0,0
2020-03-10,Alblasserdam,0,0
2020-03-11,Alblasserdam,0,0
2020-03-12,Alblasserdam,0,0
2020-03-13,Alblasserdam,0,0
2020-03-14,Alblasserdam,0,0
2020-03-15,Alblasserdam,0,0
2020-03-16,Alblasserdam,0,0
2020-03-17,Alblasserdam,2,0
2020-03-18,Alblasserdam,0,0
2020-03-19,Alblasserdam,1,0
2020-03-20,Alblasserdam,1,0
2020-03-21,Alblasserdam,0,0
2020-03-22,Alblasserdam,1,0
2020-03-23,Alblasserdam,0,0
2020-03-24,Alblasserdam,0,0
2020-03-25,Alblasserdam,1,0
2020-03-26,Alblasserdam,0,0
2020-03-27,Alblasserdam,0,0
2020-03-28,Alblasserdam,0,0
2020-03-29,Alblasserdam,1,0
2020-03-30,Alblasserdam,0,0
2020-03-31,Alblasserdam,0,0
2020-03-01,Albrandswaard,0,0
2020-03-02,Albrandswaard,0,0
2020-03-03,Albrandswaard,0,0
2020-03-04,Albrandswaard,0,0
2020-03-05,Albrandswaard,0,0
2020-03-06,Albrandswaard,0,0
2020-03-07,Albrandswaard,0,0
2020-03-08,Albrandswaard,1,0
2020-03-09,Albrandswaard,0,0
2020-03-10,Albrandswaard,0,0
2020-03-11,Albrandswaard,0,0
2020-03-12,Albrandswaard,0,0
2020-03-13,Albrandswaard,0,0
2020-03-14,Albrandswaard,0,0
2020-03-15,Albrandswaard,0,0
2020-03-16,Albrandswaard,1,0
2020-03-17,Albrandswaard,1,0
2020-03-18,Albrandswaard,1,0
2020-03-19,Albrandswaard,0,0
2020-03-20,Albrandswaard,1,0
2020-03-21,Albrandswaard,3,0
2020-03-22,Albrandswaard,4,0
2020-03-23,Albrandswaard,2,0
2020-03-24,Albrandswaard,4,0
2020-03-25,Albrandswaard,0,0
2020-03-26,Albrandswaard,1,0
2020-03-27,Albrandswaard,2,1
2020-03-28,Albrandswaard,2,0
2020-03-29,Albrandswaard,1,0
2020-03-30,Albrandswaard,1,0
2020-03-31,Albrandswaard,2,0
2020-03-01,Alphen aan den Rijn,0,0
2020-03-02,Alphen aan den Rijn,0,0
2020-03-03,Alphen aan den Rijn,0,0
2020-03-04,Alphen aan den Rijn,0,0
2020-03-05,Alphen aan den Rijn,0,0
2020-03-06,Alphen aan den Rijn,1,0
2020-03-07,Alphen aan den Rijn,0,0
2020-03-08,Alphen aan den Rijn,0,0
2020-03-09,Alphen aan den Rijn,0,0
2020-03-10,Alphen aan den Rijn,0,0
2020-03-11,Alphen aan den Rijn,1,0
2020-03-12,Alphen aan den Rijn,1,0
2020-03-13,Alphen aan den Rijn,1,0
2020-03-14,Alphen aan den Rijn,2,0
2020-03-15,Alphen aan den Rijn,0,0
2020-03-16,Alphen aan den Rijn,0,0
2020-03-17,Alphen aan den Rijn,0,0
2020-03-18,Alphen aan den Rijn,3,0
2020-03-19,Alphen aan den Rijn,1,0
2020-03-20,Alphen aan den Rijn,3,0
2020-03-21,Alphen aan den Rijn,2,0
2020-03-22,Alphen aan den Rijn,2,0
2020-03-23,Alphen aan den Rijn,0,1
2020-03-24,Alphen aan den Rijn,4,0
2020-03-25,Alphen aan den Rijn,1,0
2020-03-26,Alphen aan den Rijn,8,0
2020-03-27,Alphen aan den Rijn,1,1
2020-03-28,Alphen aan den Rijn,3,0
2020-03-29,Alphen aan den Rijn,6,0
2020-03-30,Alphen aan den Rijn,3,0
2020-03-31,Alphen aan den Rijn,8,0
2020-03-01,Barendrecht,0,0
2020-03-02,Barendrecht,0,0
2020-03-03,Barendrecht,0,0
2020-03-04,Barendrecht,0,0
2020-03-05,Barendrecht,0,0
2020-03-06,Barendrecht,0,0
2020-03-07,Barendrecht,0,0
2020-03-08,Barendrecht,0,0
2020-03-09,Barendrecht,0,0
2020-03-10,Barendrecht,0,0
2020-03-11,Barendrecht,0,0
2020-03-12,Barendrecht,1,0
2020-03-13,Barendrecht,0,0
2020-03-14,Barendrecht,0,0
2020-03-15,Barendrecht,2,0
2020-03-16,Barendrecht,0,0
2020-03-17,Barendrecht,0,0
2020-03-18,Barendrecht,0,0
2020-03-19,Barendrecht,1,0
2020-03-20,Barendrecht,1,0
2020-03-21,Barendrecht,4,0
2020-03-22,Barendrecht,2,0
2020-03-23,Barendrecht,2,0
2020-03-24,Barendrecht,2,0
2020-03-25,Barendrecht,1,0
2020-03-26,Barendrecht,3,0
2020-03-27,Barendrecht,2,0
2020-03-28,Barendrecht,7,0
2020-03-29,Barendrecht,1,0
2020-03-30,Barendrecht,1,0
2020-03-31,Barendrecht,1,0
2020-03-01,Bodegraven-Reeuwijk,0,0
2020-03-02,Bodegraven-Reeuwijk,0,0
2020-03-03,Bodegraven-Reeuwijk,0,0
2020-03-04,Bodegraven-Reeuwijk,0,0
2020-03-05,Bodegraven-Reeuwijk,0,0
2020-03-06,Bodegraven-Reeuwijk,0,0
2020-03-07,Bodegraven-Reeuwijk,0,0
2020-03-08,Bodegraven-Reeuwijk,0,0
2020-03-09,Bodegraven-Reeuwijk,0,0
2020-03-10,Bodegraven-Reeuwijk,0,0
2020-03-11,Bodegraven-Reeuwijk,0,0
2020-03-12,Bodegraven-Reeuwijk,1,0
2020-03-13,Bodegraven-Reeuwijk,0,0
2020-03-14,Bodegraven-Reeuwijk,0,0
2020-03-15,Bodegraven-Reeuwijk,0,0
2020-03-16,Bodegraven-Reeuwijk,0,0
2020-03-17,Bodegraven-Reeuwijk,0,0
2020-03-18,Bodegraven-Reeuwijk,0,0
2020-03-19,Bodegraven-Reeuwijk,0,0
2020-03-20,Bodegraven-Reeuwijk,0,0
2020-03-21,Bodegraven-Reeuwijk,2,0
2020-03-22,Bodegraven-Reeuwijk,2,0
2020-03-23,Bodegraven-Reeuwijk,0,0
2020-03-24,Bodegraven-Reeuwijk,0,0
2020-03-25,Bodegraven-Reeuwijk,0,0
2020-03-26,Bodegraven-Reeuwijk,3,0
2020-03-27,Bodegraven-Reeuwijk,1,0
2020-03-28,Bodegraven-Reeuwijk,1,0
2020-03-29,Bodegraven-Reeuwijk,1,0
2020-03-30,Bodegraven-Reeuwijk,1,0
2020-03-31,Bodegraven-Reeuwijk,2,0
2020-03-01,Brielle,0,0
2020-03-02,Brielle,0,0
2020-03-03,Brielle,0,0
2020-03-04,Brielle,0,0
2020-03-05,Brielle,0,0
2020-03-06,Brielle,0,0
2020-03-07,Brielle,0,0
2020-03-08,Brielle,0,0
2020-03-09,Brielle,0,0
2020-03-10,Brielle,0,0
2020-03-11,Brielle,0,0
2020-03-12,Brielle,0,0
2020-03-13,Brielle,0,0
2020-03-14,Brielle,0,0
2020-03-15,Brielle,0,0
2020-03-16,Brielle,0,0
2020-03-17,Brielle,0,0
2020-03-18,Brielle,0,0
2020-03-19,Brielle,1,0
2020-03-20,Brielle,0,0
2020-03-21,Brielle,0,0
2020-03-22,Brielle,0,0
2020-03-23,Brielle,0,0
2020-03-24,Brielle,0,0
2020-03-25,Brielle,0,0
2020-03-26,Brielle,1,0
2020-03-27,Brielle,3,0
2020-03-28,Brielle,5,0
2020-03-29,Brielle,1,0
2020-03-30,Brielle,0,0
2020-03-31,Brielle,1,0
2020-03-01,Capelle aan den IJssel,0,0
2020-03-02,Capelle aan den IJssel,0,0
2020-03-03,Capelle aan den IJssel,0,0
2020-03-04,Capelle aan den IJssel,0,0
2020-03-05,Capelle aan den IJssel,0,0
2020-03-06,Capelle aan den IJssel,0,0
2020-03-07,Capelle aan den IJssel,0,0
2020-03-08,Capelle aan den IJssel,0,0
2020-03-09,Capelle aan den IJssel,0,0
2020-03-10,Capelle aan den IJssel,0,0
2020-03-11,Capelle aan den IJssel,0,0
2020-03-12,Capelle aan den IJssel,0,0
2020-03-13,Capelle aan den IJssel,0,0
2020-03-14,Capelle aan den IJssel,0,0
2020-03-15,Capelle aan den IJssel,0,0
2020-03-16,Capelle aan den IJssel,0,0
2020-03-17,Capelle aan den IJssel,1,0
2020-03-18,Capelle aan den IJssel,0,0
2020-03-19,Capelle aan den IJssel,1,0
2020-03-20,Capelle aan den IJssel,1,0
2020-03-21,Capelle aan den IJssel,0,0
2020-03-22,Capelle aan den IJssel,4,0
2020-03-23,Capelle aan den IJssel,0,0
2020-03-24,Capelle aan den IJssel,6,0
2020-03-25,Capelle aan den IJssel,10,0
2020-03-26,Capelle aan den IJssel,3,1
2020-03-27,Capelle aan den IJssel,5,1
2020-03-28,Capelle aan den IJssel,10,1
2020-03-29,Capelle aan den IJssel,1,0
2020-03-30,Capelle aan den IJssel,2,0
2020-03-31,Capelle aan den IJssel,6,0
2020-03-01,Delft,0,0
2020-03-02,Delft,0,0
2020-03-03,Delft,0,0
2020-03-04,Delft,0,0
2020-03-05,Delft,0,0
2020-03-06,Delft,0,0
2020-03-07,Delft,0,0
2020-03-08,Delft,0,0
2020-03-09,Delft,0,0
2020-03-10,Delft,1,0
2020-03-11,Delft,0,0
2020-03-12,Delft,0,0
2020-03-13,Delft,1,0
2020-03-14,Delft,0,0
2020-03-15,Delft,0,0
2020-03-16,Delft,0,0
2020-03-17,Delft,0,0
2020-03-18,Delft,2,0
2020-03-19,Delft,1,0
2020-03-20,Delft,2,0
2020-03-21,Delft,2,0
2020-03-22,Delft,2,0
2020-03-23,Delft,4,0
2020-03-24,Delft,1,0
2020-03-25,Delft,4,0
2020-03-26,Delft,4,0
2020-03-27,Delft,2,0
2020-03-28,Delft,2,0
2020-03-29,Delft,2,0
2020-03-30,Delft,2,1
2020-03-31,Delft,2,0
2020-03-01,Dordrecht,0,0
2020-03-02,Dordrecht,0,0
2020-03-03,Dordrecht,0,0
2020-03-04,Dordrecht,0,0
2020-03-05,Dordrecht,0,0
2020-03-06,Dordrecht,0,0
2020-03-07,Dordrecht,0,0
2020-03-08,Dordrecht,0,0
2020-03-09,Dordrecht,0,0
2020-03-10,Dordrecht,0,0
2020-03-11,Dordrecht,0,0
2020-03-12,Dordrecht,0,0
2020-03-13,Dordrecht,1,0
2020-03-14,Dordrecht,0,0
2020-03-15,Dordrecht,0,0
2020-03-16,Dordrecht,0,0
2020-03-17,Dordrecht,3,0
2020-03-18,Dordrecht,0,0
2020-03-19,Dordrecht,4,0
2020-03-20,Dordrecht,3,0
2020-03-21,Dordrecht,1,0
2020-03-22,Dordrecht,1,0
2020-03-23,Dordrecht,7,0
2020-03-24,Dordrecht,4,0
2020-03-25,Dordrecht,3,0
2020-03-26,Dordrecht,2,1
2020-03-27,Dordrecht,4,1
2020-03-28,Dordrecht,4,0
2020-03-29,Dordrecht,6,0
2020-03-30,Dordrecht,5,1
2020-03-31,Dordrecht,4,0
2020-03-01,Goeree-Overflakkee,0,0
2020-03-02,Goeree-Overflakkee,0,0
2020-03-03,Goeree-Overflakkee,0,0
2020-03-04,Goeree-Overflakkee,0,0
2020-03-05,Goeree-Overflakkee,0,0
2020-03-06,Goeree-Overflakkee,0,0
2020-03-07,Goeree-Overflakkee,0,0
2020-03-08,Goeree-Overflakkee,0,0
2020-03-09,Goeree-Overflakkee,0,0
2020-03-10,Goeree-Overflakkee,0,0
2020-03-11,Goeree-Overflakkee,0,0
2020-03-12,Goeree-Overflakkee,0,0
2020-03-13,Goeree-Overflakkee,0,0
2020-03-14,Goeree-Overflakkee,1,0
2020-03-15,Goeree-Overflakkee,1,0
2020-03-16,Goeree-Overflakkee,3,0
2020-03-17,Goeree-Overflakkee,1,0
2020-03-18,Goeree-Overflakkee,2,0
2020-03-19,Goeree-Overflakkee,1,0
2020-03-20,Goeree-Overflakkee,6,0
2020-03-21,Goeree-Overflakkee,2,0
2020-03-22,Goeree-Overflakkee,9,0
2020-03-23,Goeree-Overflakkee,11,0
2020-03-24,Goeree-Overflakkee,7,0
2020-03-25,Goeree-Overflakkee,1,0
2020-03-26,Goeree-Overflakkee,12,2
2020-03-27,Goeree-Overflakkee,21,0
2020-03-28,Goeree-Overflakkee,15,0
2020-03-29,Goeree-Overflakkee,10,0
2020-03-30,Goeree-Overflakkee,10,0
2020-03-31,Goeree-Overflakkee,1,0
2020-03-01,Gorinchem,0,0
2020-03-02,Gorinchem,0,0
2020-03-03,Gorinchem,0,0
2020-03-04,Gorinchem,0,0
2020-03-05,Gorinchem,0,0
2020-03-06,Gorinchem,0,0
2020-03-07,Gorinchem,0,0
2020-03-08,Gorinchem,0,0
2020-03-09,Gorinchem,0,0
2020-03-10,Gorinchem,0,0
2020-03-11,Gorinchem,0,0
2020-03-12,Gorinchem,0,0
2020-03-13,Gorinchem,0,0
2020-03-14,Gorinchem,0,0
2020-03-15,Gorinchem,0,0
2020-03-16,Gorinchem,0,0
2020-03-17,Gorinchem,0,0
2020-03-18,Gorinchem,0,0
2020-03-19,Gorinchem,0,0
2020-03-20,Gorinchem,0,0
2020-03-21,Gorinchem,0,0
2020-03-22,Gorinchem,3,0
2020-03-23,Gorinchem,1,0
2020-03-24,Gorinchem,2,0
2020-03-25,Gorinchem,3,0
2020-03-26,Gorinchem,2,0
2020-03-27,Gorinchem,3,0
2020-03-28,Gorinchem,1,0
2020-03-29,Gorinchem,3,0
2020-03-30,Gorinchem,8,0
2020-03-31,Gorinchem,11,0
2020-03-01,Gouda,0,0
2020-03-02,Gouda,0,0
2020-03-03,Gouda,0,0
2020-03-04,Gouda,0,0
2020-03-05,Gouda,0,0
2020-03-06,Gouda,0,0
2020-03-07,Gouda,0,0
2020-03-08,Gouda,0,0
2020-03-09,Gouda,0,0
2020-03-10,Gouda,1,0
2020-03-11,Gouda,1,0
2020-03-12,Gouda,0,0
2020-03-13,Gouda,0,0
2020-03-14,Gouda,0,0
2020-03-15,Gouda,1,0
