Date_of_publication,Municipality_name,Total_reported,Deceased
2020-05-01,'s-Gravenhage,28,17
2020-05-02,'s-Gravenhage,18,7
2020-05-03,'s-Gravenhage,16,0
2020-05-04,'s-Gravenhage,4,0
2020-05-05,'s-Gravenhage,8,9
2020-05-06,'s-Gravenhage,6,6
2020-05-07,'s-Gravenhage,13,0
2020-05-08,'s-Gravenhage,11,5
2020-05-09,'s-Gravenhage,10,3
2020-05-10,'s-Gravenhage,14,0
2020-05-11,'s-Gravenhage,12,2
2020-05-12,'s-Gravenhage,7,2
2020-05-13,'s-Gravenhage,14,3
2020-05-14,'s-Gravenhage,14,0
2020-05-15,'s-Gravenhage,13,4
2020-05-16,'s-Gravenhage,7,1
2020-05-17,'s-Gravenhage,8,0
2020-05-18,'s-Gravenhage,6,0
2020-05-19,'s-Gravenhage,12,8
2020-05-20,'s-Gravenhage,6,2
2020-05-21,'s-Gravenhage,14,2
2020-05-22,'s-Gravenhage,7,0
2020-05-23,'s-Gravenhage,19,0
2020-05-24,'s-Gravenhage,11,0
2020-05-25,'s-Gravenhage,10,1
2020-05-26,'s-Gravenhage,10,2
2020-05-27,'s-Gravenhage,13,1
2020-05-28,'s-Gravenhage,15,1
2020-05-29,'s-Gravenhage,17,0
2020-05-30,'s-Gravenhage,16,4
2020-05-31,'s-Gravenhage,8,0
2020-05-01,Alblasserdam,0,0
2020-05-02,Alblasserdam,0,1
2020-05-03,Alblasserdam,0,0
2020-05-04,Alblasserdam,0,0
2020-05-05,Alblasserdam,1,0
2020-05-06,Alblasserdam,0,0
2020-05-07,Alblasserdam,0,0
2020-05-08,Alblasserdam,0,0
2020-05-09,Alblasserdam,1,1
2020-05-10,Alblasserdam,1,0
2020-05-11,Alblasserdam,0,0
2020-05-12,Alblasserdam,0,0
2020-05-13,Alblasserdam,0,0
2020-05-14,Alblasserdam,0,0
2020-05-15,Alblasserdam,0,0
2020-05-16,Alblasserdam,0,0
2020-05-17,Alblasserdam,0,0
2020-05-18,Alblasserdam,1,0
2020-05-19,Alblasserdam,0,0
2020-05-20,Alblasserdam,1,0
2020-05-21,Alblasserdam,0,0
2020-05-22,Alblasserdam,0,0
2020-05-23,Alblasserdam,0,1
2020-05-24,Alblasserdam,0,0
2020-05-25,Alblasserdam,0,0
2020-05-26,Alblasserdam,0,0
2020-05-27,Alblasserdam,0,0
2020-05-28,Alblasserdam,0,0
2020-05-29,Alblasserdam,0,0
2020-05-30,Alblasserdam,0,0
2020-05-31,Alblasserdam,0,0
2020-05-01,Albrandswaard,1,0
2020-05-02,Albrandswaard,2,0
2020-05-03,Albrandswaard,0,0
2020-05-04,Albrandswaard,0,0
2020-05-05,Albrandswaard,0,0
2020-05-06,Albrandswaard,0,0
2020-05-07,Albrandswaard,1,0
2020-05-08,Albrandswaard,0,0
2020-05-09,Albrandswaard,0,0
2020-05-10,Albrandswaard,1,0
2020-05-11,Albrandswaard,0,0
2020-05-12,Albrandswaard,2,1
2020-05-13,Albrandswaard,0,0
2020-05-14,Albrandswaard,1,0
2020-05-15,Albrandswaard,0,0
2020-05-16,Albrandswaard,1,0
2020-05-17,Albrandswaard,1,0
2020-05-18,Albrandswaard,1,0
2020-05-19,Albrandswaard,0,0
2020-05-20,Albrandswaard,0,0
2020-05-21,Albrandswaard,0,0
2020-05-22,Albrandswaard,1,0
2020-05-23,Albrandswaard,0,0
2020-05-24,Albrandswaard,0,0
2020-05-25,Albrandswaard,1,0
2020-05-26,Albrandswaard,0,0
2020-05-27,Albrandswaard,0,0
2020-05-28,Albrandswaard,0,0
2020-05-29,Albrandswaard,0,0
2020-05-30,Albrandswaard,0,0
2020-05-31,Albrandswaard,0,0
2020-05-01,Alphen aan den Rijn,1,0
2020-05-02,Alphen aan den Rijn,4,0
2020-05-03,Alphen aan den Rijn,0,0
2020-05-04,Alphen aan den Rijn,1,0
2020-05-05,Alphen aan den Rijn,1,1
2020-05-06,Alphen aan den Rijn,4,0
2020-05-07,Alphen aan den Rijn,0,0
2020-05-08,Alphen aan den Rijn,3,0
2020-05-09,Alphen aan den Rijn,1,0
2020-05-10,Alphen aan den Rijn,4,1
2020-05-11,Alphen aan den Rijn,0,0
2020-05-12,Alphen aan den Rijn,0,0
2020-05-13,Alphen aan den Rijn,5,0
2020-05-14,Alphen aan den Rijn,3,0
2020-05-15,Alphen aan den Rijn,3,0
2020-05-16,Alphen aan den Rijn,3,0
2020-05-17,Alphen aan den Rijn,0,0
2020-05-18,Alphen aan den Rijn,2,0
2020-05-19,Alphen aan den Rijn,0,0
2020-05-20,Alphen aan den Rijn,2,0
2020-05-21,Alphen aan den Rijn,1,0
2020-05-22,Alphen aan den Rijn,0,0
