Date_of_publication,Municipality_name,Total_reported,Deceased
2020-09-01,'s-Gravenhage,49,0
2020-09-02,'s-Gravenhage,63,1
2020-09-03,'s-Gravenhage,62,0
2020-09-04,'s-Gravenhage,97,0
2020-09-05,'s-Gravenhage,50,0
2020-09-06,'s-Gravenhage,115,0
2020-09-07,'s-Gravenhage,44,0
2020-09-08,'s-Gravenhage,92,0
2020-09-09,'s-Gravenhage,121,1
2020-09-10,'s-Gravenhage,47,0
2020-09-11,'s-Gravenhage,121,1
2020-09-12,'s-Gravenhage,122,0
2020-09-13,'s-Gravenhage,85,0
2020-09-14,'s-Gravenhage,133,0
2020-09-15,'s-Gravenhage,133,0
2020-09-16,'s-Gravenhage,117,0
2020-09-17,'s-Gravenhage,107,1
2020-09-18,'s-Gravenhage,121,1
2020-09-19,'s-Gravenhage,140,0
2020-09-20,'s-Gravenhage,182,1
2020-09-21,'s-Gravenhage,131,1
2020-09-22,'s-Gravenhage,235,1
2020-09-23,'s-Gravenhage,127,1
2020-09-24,'s-Gravenhage,138,1
2020-09-25,'s-Gravenhage,180,3
2020-09-26,'s-Gravenhage,199,1
2020-09-27,'s-Gravenhage,227,0
2020-09-28,'s-Gravenhage,232,1
2020-09-29,'s-Gravenhage,144,1
2020-09-30,'s-Gravenhage,255,2
2020-09-01,Alblasserdam,2,0
2020-09-02,Alblasserdam,1,0
2020-09-03,Alblasserdam,1,0
2020-09-04,Alblasserdam,1,0
2020-09-05,Alblasserdam,0,0
2020-09-06,Alblasserdam,2,0
2020-09-07,Alblasserdam,1,0
2020-09-08,Alblasserdam,0,0
2020-09-09,Alblasserdam,3,0
2020-09-10,Alblasserdam,1,0
2020-09-11,Alblasserdam,5,0
2020-09-12,Alblasserdam,0,0
2020-09-13,Alblasserdam,1,0
2020-09-14,Alblasserdam,0,0
2020-09-15,Alblasserdam,2,0
2020-09-16,Alblasserdam,0,0
2020-09-17,Alblasserdam,1,0
2020-09-18,Alblasserdam,10,1
2020-09-19,Alblasserdam,0,0
2020-09-20,Alblasserdam,5,0
2020-09-21,Alblasserdam,4,0
2020-09-22,Alblasserdam,3,0
2020-09-23,Alblasserdam,7,0
2020-09-24,Alblasserdam,4,0
2020-09-25,Alblasserdam,7,0
2020-09-26,Alblasserdam,4,0
2020-09-27,Alblasserdam,3,0
2020-09-28,Alblasserdam,3,0
2020-09-29,Alblasserdam,6,0
2020-09-30,Alblasserdam,9,0
2020-09-01,Albrandswaard,0,0
2020-09-02,Albrandswaard,0,0
2020-09-03,Albrandswaard,2,0
2020-09-04,Albrandswaard,1,0
2020-09-05,Albrandswaard,1,0
2020-09-06,Albrandswaard,1,0
2020-09-07,Albrandswaard,4,0
2020-09-08,Albrandswaard,2,0
2020-09-09,Albrandswaard,3,0
2020-09-10,Albrandswaard,2,0
2020-09-11,Albrandswaard,3,0
2020-09-12,Albrandswaard,5,0
2020-09-13,Albrandswaard,3,0
2020-09-14,Albrandswaard,4,0
2020-09-15,Albrandswaard,0,0
2020-09-16,Albrandswaard,3,0
2020-09-17,Albrandswaard,0,0
2020-09-18,Albrandswaard,3,0
2020-09-19,Albrandswaard,1,0
2020-09-20,Albrandswaard,4,0
2020-09-21,Albrandswaard,2,0
2020-09-22,Albrandswaard,3,0
2020-09-23,Albrandswaard,2,0
2020-09-24,Albrandswaard,10,0
2020-09-25,Albrandswaard,3,0
2020-09-26,Albrandswaard,3,0
2020-09-27,Albrandswaard,5,0
2020-09-28,Albrandswaard,6,0
2020-09-29,Albrandswaard,9,0
2020-09-30,Albrandswaard,10,0
2020-09-01,Alphen aan den Rijn,1,0
2020-09-02,Alphen aan den Rijn,4,0
2020-09-03,Alphen aan den Rijn,3,0
2020-09-04,Alphen aan den Rijn,5,0
2020-09-05,Alphen aan den Rijn,5,0
2020-09-06,Alphen aan den Rijn,10,0
2020-09-07,Alphen aan den Rijn,5,0
2020-09-08,Alphen aan den Rijn,8,0
2020-09-09,Alphen aan den Rijn,9,1
2020-09-10,Alphen aan den Rijn,5,0
2020-09-11,Alphen aan den Rijn,12,0
2020-09-12,Alphen aan den Rijn,5,0
2020-09-13,Alphen aan den Rijn,4,0
2020-09-14,Alphen aan den Rijn,17,0
2020-09-15,Alphen aan den Rijn,13,0
2020-09-16,Alphen aan den Rijn,10,0
2020-09-17,Alphen aan den Rijn,10,0
2020-09-18,Alphen aan den Rijn,13,0
2020-09-19,Alphen aan den Rijn,17,0
2020-09-20,Alphen aan den Rijn,13,0
2020-09-21,Alphen aan den Rijn,26,0
2020-09-22,Alphen aan den Rijn,13,0
2020-09-23,Alphen aan den Rijn,17,0
2020-09-24,Alphen aan den Rijn,20,0
2020-09-25,Alphen aan den Rijn,23,0
2020-09-26,Alphen aan den Rijn,33,0
2020-09-27,Alphen aan den Rijn,19,0
2020-09-28,Alphen aan den Rijn,20,0
2020-09-29,Alphen aan den Rijn,19,0
2020-09-30,Alphen aan den Rijn,16,0
2020-09-01,Barendrecht,2,0
2020-09-02,Barendrecht,3,0
2020-09-03,Barendrecht,7,0
2020-09-04,Barendrecht,3,0
2020-09-05,Barendrecht,3,0
2020-09-06,Barendrecht,4,0
2020-09-07,Barendrecht,3,0
2020-09-08,Barendrecht,5,0
2020-09-09,Barendrecht,11,0
2020-09-10,Barendrecht,3,0
2020-09-11,Barendrecht,4,0
2020-09-12,Barendrecht,7,0
2020-09-13,Barendrecht,7,0
2020-09-14,Barendrecht,8,0
2020-09-15,Barendrecht,7,0
2020-09-16,Barendrecht,9,0
2020-09-17,Barendrecht,9,0
2020-09-18,Barendrecht,16,0
2020-09-19,Barendrecht,6,0
2020-09-20,Barendrecht,9,0
2020-09-21,Barendrecht,16,0
2020-09-22,Barendrecht,4,0
2020-09-23,Barendrecht,14,0
2020-09-24,Barendrecht,14,0
2020-09-25,Barendrecht,14,0
2020-09-26,Barendrecht,11,0
2020-09-27,Barendrecht,20,0
2020-09-28,Barendrecht,8,0
2020-09-29,Barendrecht,18,0
2020-09-30,Barendrecht,13,0
2020-09-01,Bodegraven-Reeuwijk,1,0
2020-09-02,Bodegraven-Reeuwijk,1,0
2020-09-03,Bodegraven-Reeuwijk,0,0
2020-09-04,Bodegraven-Reeuwijk,0,0
2020-09-05,Bodegraven-Reeuwijk,1,0
2020-09-06,Bodegraven-Reeuwijk,0,0
2020-09-07,Bodegraven-Reeuwijk,2,0
2020-09-08,Bodegraven-Reeuwijk,2,0
2020-09-09,Bodegraven-Reeuwijk,0,0
2020-09-10,Bodegraven-Reeuwijk,1,0
2020-09-11,Bodegraven-Reeuwijk,2,0
2020-09-12,Bodegraven-Reeuwijk,3,0
2020-09-13,Bodegraven-Reeuwijk,5,0
2020-09-14,Bodegraven-Reeuwijk,0,0
2020-09-15,Bodegraven-Reeuwijk,2,0
2020-09-16,Bodegraven-Reeuwijk,3,0
2020-09-17,Bodegraven-Reeuwijk,21,0
2020-09-18,Bodegraven-Reeuwijk,2,0
2020-09-19,Bodegraven-Reeuwijk,2,0
2020-09-20,Bodegraven-Reeuwijk,6,1
2020-09-21,Bodegraven-Reeuwijk,3,0
2020-09-22,Bodegraven-Reeuwijk,8,0
2020-09-23,Bodegraven-Reeuwijk,9,0
2020-09-24,Bodegraven-Reeuwijk,6,0
2020-09-25,Bodegraven-Reeuwijk,7,3
2020-09-26,Bodegraven-Reeuwijk,6,0
2020-09-27,Bodegraven-Reeuwijk,6,1
2020-09-28,Bodegraven-Reeuwijk,6,0
2020-09-29,Bodegraven-Reeuwijk,4,0
2020-09-30,Bodegraven-Reeuwijk,8,1
2020-09-01,Brielle,0,0
2020-09-02,Brielle,1,0
2020-09-03,Brielle,0,0
2020-09-04,Brielle,0,0
2020-09-05,Brielle,0,0
2020-09-06,Brielle,0,0
2020-09-07,Brielle,0,0
2020-09-08,Brielle,0,0
2020-09-09,Brielle,0,0
2020-09-10,Brielle,0,0
2020-09-11,Brielle,0,0
2020-09-12,Brielle,1,0
2020-09-13,Brielle,0,0
2020-09-14,Brielle,0,0
2020-09-15,Brielle,1,0
2020-09-16,Brielle,1,0
2020-09-17,Brielle,1,0
2020-09-18,Brielle,7,0
2020-09-19,Brielle,0,0
2020-09-20,Brielle,1,0
2020-09-21,Brielle,4,0
2020-09-22,Brielle,0,0
2020-09-23,Brielle,0,0
2020-09-24,Brielle,2,0
2020-09-25,Brielle,3,0
2020-09-26,Brielle,0,0
2020-09-27,Brielle,3,0
2020-09-28,Brielle,2,0
2020-09-29,Brielle,2,0
2020-09-30,Brielle,1,0
2020-09-01,Capelle aan den IJssel,1,1
2020-09-02,Capelle aan den IJssel,5,0
2020-09-03,Capelle aan den IJssel,5,0
2020-09-04,Capelle aan den IJssel,0,0
2020-09-05,Capelle aan den IJssel,0,1
2020-09-06,Capelle aan den IJssel,6,0
2020-09-07,Capelle aan den IJssel,6,0
2020-09-08,Capelle aan den IJssel,2,0
2020-09-09,Capelle aan den IJssel,7,0
2020-09-10,Capelle aan den IJssel,3,0
2020-09-11,Capelle aan den IJssel,12,0
2020-09-12,Capelle aan den IJssel,4,0
2020-09-13,Capelle aan den IJssel,5,0
2020-09-14,Capelle aan den IJssel,1,0
2020-09-15,Capelle aan den IJssel,6,0
2020-09-16,Capelle aan den IJssel,14,0
2020-09-17,Capelle aan den IJssel,7,0
2020-09-18,Capelle aan den IJssel,27,0
2020-09-19,Capelle aan den IJssel,8,0
2020-09-20,Capelle aan den IJssel,9,0
2020-09-21,Capelle aan den IJssel,12,0
2020-09-22,Capelle aan den IJssel,11,1
2020-09-23,Capelle aan den IJssel,14,0
2020-09-24,Capelle aan den IJssel,15,0
2020-09-25,Capelle aan den IJssel,10,0
2020-09-26,Capelle aan den IJssel,9,0
2020-09-27,Capelle aan den IJssel,25,0
2020-09-28,Capelle aan den IJssel,17,0
2020-09-29,Capelle aan den IJssel,15,0
2020-09-30,Capelle aan den IJssel,17,0
2020-09-01,Delft,5,0
2020-09-02,Delft,15,0
2020-09-03,Delft,9,0
2020-09-04,Delft,26,0
2020-09-05,Delft,11,0
