Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
4;2022-11-15 09:00:00;2021-10-04;VR01;Groningen;1367;76
4;2022-11-15 09:00:00;2021-10-05;VR01;Groningen;1373;66
4;2022-11-15 09:00:00;2021-10-06;VR01;Groningen;1263;70
4;2022-11-15 09:00:00;2021-10-07;VR01;Groningen;1177;70
4;2022-11-15 09:00:00;2021-10-08;VR01;Groningen;944;66
4;2022-11-15 09:00:00;2021-10-09;VR01;Groningen;725;45
4;2022-11-15 09:00:00;2021-10-10;VR01;Groningen;779;43
4;2022-11-15 09:00:00;2021-10-11;VR01;Groningen;1637;97
4;2022-11-15 09:00:00;2021-10-12;VR01;Groningen;1538;100
4;2022-11-15 09:00:00;2021-10-13;VR01;Groningen;1488;102
4;2022-11-15 09:00:00;2021-10-14;VR01;Groningen;1393;95
4;2022-11-15 09:00:00;2021-10-15;VR01;Groningen;1106;93
4;2022-11-15 09:00:00;2021-10-16;VR01;Groningen;811;55
4;2022-11-15 09:00:00;2021-10-17;VR01;Groningen;807;63
4;2022-11-15 09:00:00;2021-10-18;VR01;Groningen;1337;69
4;2022-11-15 09:00:00;2021-10-19;VR01;Groningen;1252;91
4;2022-11-15 09:00:00;2021-10-20;VR01;Groningen;1260;103
4;2022-11-15 09:00:00;2021-10-21;VR01;Groningen;1066;71
4;2022-11-15 09:00:00;2021-10-22;VR01;Groningen;986;69
4;2022-11-15 09:00:00;2021-10-23;VR01;Groningen;863;76
4;2022-11-15 09:00:00;2021-10-24;VR01;Groningen;837;100
4;2022-11-15 09:00:00;2021-10-25;VR01;Groningen;1688;141
4;2022-11-15 09:00:00;2021-10-26;VR01;Groningen;1748;155
4;2022-11-15 09:00:00;2021-10-27;VR01;Groningen;1538;126
4;2022-11-15 09:00:00;2021-10-28;VR01;Groningen;1510;152
4;2022-11-15 09:00:00;2021-10-29;VR01;Groningen;1295;113
4;2022-11-15 09:00:00;2021-10-30;VR01;Groningen;944;145
4;2022-11-15 09:00:00;2021-10-31;VR01;Groningen;1020;118
4;2022-11-15 09:00:00;2021-11-01;VR01;Groningen;1834;147
4;2022-11-15 09:00:00;2021-11-02;VR01;Groningen;1944;156
4;2022-11-15 09:00:00;2021-11-03;VR01;Groningen;2027;206
4;2022-11-15 09:00:00;2021-11-04;VR01;Groningen;2030;176
4;2022-11-15 09:00:00;2021-11-05;VR01;Groningen;2047;215
4;2022-11-15 09:00:00;2021-11-06;VR01;Groningen;1507;175
4;2022-11-15 09:00:00;2021-11-07;VR01;Groningen;1627;175
4;2022-11-15 09:00:00;2021-11-08;VR01;Groningen;2460;257
4;2022-11-15 09:00:00;2021-11-09;VR01;Groningen;2884;328
4;2022-11-15 09:00:00;2021-11-10;VR01;Groningen;2856;313
4;2022-11-15 09:00:00;2021-11-11;VR01;Groningen;2735;266
4;2022-11-15 09:00:00;2021-11-12;VR01;Groningen;2619;293
4;2022-11-15 09:00:00;2021-11-13;VR01;Groningen;1823;252
4;2022-11-15 09:00:00;2021-11-14;VR01;Groningen;1954;284
4;2022-11-15 09:00:00;2021-11-15;VR01;Groningen;3045;353
4;2022-11-15 09:00:00;2021-11-16;VR01;Groningen;3175;387
