Regio's,Perioden,Totaal,<5 jaar,5 tot 10 jaar,10 tot 15 jaar,15 tot 20 jaar,20 tot 25 jaar,25 tot 45 jaar,45 tot 65 jaar,65 tot 80 jaar,80 jaar of ouder
Alblasserdam,2020,20165,1242,1324,1320,1313,1172,4570,5241,2892,1091
Albrandswaard,2020,25590,1260,1570,1716,1672,1228,5718,7964,3453,1009
Alphen aan den Rijn,2020,111897,5678,6233,6411,6977,6243,27508,31451,16604,4792
Barendrecht,2020,48714,2450,2996,3315,3660,2684,10241,14750,6539,2079
Bodegraven-Reeuwijk,2020,34872,2020,2008,2087,2302,1891,7835,9660,5398,1671
Brielle,2020,17271,740,811,850,999,861,3812,5300,2990,908
Capelle aan den IJssel,2020,67122,3471,3682,3585,3867,3757,16276,18743,10447,3294
Delft,2020,103595,4421,4300,4032,5885,14603,30220,23650,12549,3935
Dordrecht,2020,119284,5872,6515,6216,7004,7017,30227,33460,17212,5761
Goeree-Overflakkee,2020,50049,2445,2646,2908,3078,2627,10839,14552,8231,2723
Gorinchem,2020,37022,1923,1979,2059,2304,2149,9288,10537,5072,1711
Gouda,2020,73427,3840,3985,4198,4472,4276,18458,20115,10628,3455
's-Gravenhage (gemeente),2020,545838,31125,31221,30207,31158,36820,164274,141195,60596,19242
Hardinxveld-Giessendam,2020,18295,1172,1165,1217,1226,1118,4376,4601,2483,937
Hellevoetsluis,2020,40142,1787,2030,2310,2275,2015,9213,11886,7008,1618
Hendrik-Ido-Ambacht,2020,31202,2076,2271,2111,1985,1587,7837,8127,3851,1357
Hoeksche Waard,2020,87401,4129,4569,4929,5486,4420,18431,25829,15114,4494
Kaag en Braassem,2020,27297,1299,1440,1442,1697,1486,5998,8256,4403,1276
Katwijk,2020,65753,3816,4073,4185,4230,3869,16301,17402,9177,2700
Krimpen aan den IJssel,2020,29526,1577,1695,1803,1977,1614,5996,7692,5146,2026
Krimpenerwaard,2020,56319,2955,3088,3324,3692,3296,12229,15808,9001,2926
Lansingerland,2020,62384,3968,4694,4531,4243,3031,14713,17578,7272,2354
Leiden,2020,125099,5335,5399,5392,6855,15300,37349,30170,14932,4367
Leiderdorp,2020,27056,1309,1489,1499,1632,1412,5660,7834,4624,1597
Leidschendam-Voorburg,2020,76534,4007,4280,4080,4019,3301,18463,20817,12606,4961
Lisse,2020,22955,1099,1184,1229,1422,1131,5006,6654,3876,1354
Maassluis,2020,33213,1767,1735,1754,1841,1741,7891,8826,5978,1680
Midden-Delfland,2020,19341,974,1173,1124,1303,1168,4028,5899,2709,963
Molenlanden,2020,43909,2362,2740,2940,3324,2864,9380,11998,6517,1784
Nieuwkoop,2020,28811,1444,1487,1588,1711,1599,6406,8626,4664,1286
Nissewaard,2020,85219,4324,4502,4453,4728,4664,20787,24722,13360,3679
Noordwijk,2020,43508,1900,2185,2261,2528,2428,9807,12819,7400,2180
Oegstgeest,2020,24840,1376,1584,1549,1633,1097,5475,7066,3659,1401
Papendrecht,2020,32136,1530,1772,1879,1975,1741,7231,8831,5389,1788
Pijnacker-Nootdorp,2020,55308,3036,3663,4184,4147,3003,12761,16287,6069,2158
Ridderkerk,2020,46189,2330,2362,2293,2473,2398,10185,12737,8264,3147
Rijswijk (ZH.),2020,54450,3427,3064,2589,2481,2441,14688,13918,8315,3527
Rotterdam,2020,651157,36158,34742,32629,35610,51274,200825,159775,74091,26053
Schiedam,2020,78730,4264,4074,4043,4346,4980,21772,21566,10245,3440
Sliedrecht,2020,25220,1499,1554,1472,1526,1438,6249,6382,3635,1465
Teylingen,2020,37440,1867,1986,2167,2537,2074,8226,11273,5328,1982
Vlaardingen,2020,73397,3969,3999,3774,3853,4147,18601,19488,11236,4330
Voorschoten,2020,25596,1277,1511,1679,1601,1173,5264,7115,4248,1728
Waddinxveen,2020,29291,1889,1739,1620,1724,1537,7455,7579,4324,1424
Wassenaar,2020,26305,1066,1459,1826,1959,1110,4245,7894,4605,2141
Westland,2020,110375,5865,6032,6452,6644,6452,27052,30475,16185,5218
Westvoorne,2020,14731,536,632,755,797,683,2594,4794,2896,1044
Zoetermeer,2020,125285,6594,7178,7287,7442,6837,30994,34957,19150,4846
Zoeterwoude,2020,8605,394,454,485,550,457,1811,2669,1373,412
Zuidplas,2020,43885,2631,2677,2610,2764,2327,10202,12537,6302,1835
Zwijndrecht,2020,44737,2348,2398,2452,2509,2408,10632,11833,7309,2848
