"Bevolking; geslacht, leeftijd, nationaliteit en regio, 1 januari"
"Age: Total"
"";""
"";"Topic";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"";"Sex";"Total men and women";"Total men and women";"Total men and women";"Men";"Men";"Men";"Women";"Women";"Women"
"";"Periods";"1995";"2000";"2022";"1995";"2000";"2022";"1995";"2000";"2022"
"Regions";"Nationality";"number of";"number of";"number of";"number of";"number of";"number of";"number of";"number of";"number of"
"The Netherlands";"Total";"15424122";"15863950";"17590672";"7627482";"7846317";"8745468";"7796640";"8017633";"8845204"
"The Netherlands";"Total non-Dutch nationality";"757138";"651532";"1256246";"408833";"337679";"628478";"348305";"313853";"627768"
"The Netherlands";"Africa";"206649";"149764";"102998";"117142";"80229";"53898";"89507";"69535";"49100"
"The Netherlands";"America";"43934";"36484";"63824";"20439";"16464";"28125";"23495";"20020";"35699"
"The Netherlands";"Asia";"69614";"61073";"230061";"37395";"28760";"111585";"32219";"32313";"118476"
"The Netherlands";"Europe (excluding Dutch)";"422882";"334675";"823050";"226135";"170668";"413581";"196747";"164007";"409469"
"The Netherlands";"Oceania";"2597";"3168";"4796";"1257";"1563";"2533";"1340";"1605";"2263"
"The Netherlands";"European Union (excluding Dutch)";"193054";"195886";"650691";"106020";"104640";"325357";"87034";"91246";"325334"
"The Netherlands";"Central and Eastern European nat. in the EU";"";"";"322978";"";"";"163498";"";"";"159480"
"The Netherlands";"GIPS Nationalities in the EU";"49149";"49530";"144322";"29972";"29297";"78512";"19177";"20233";"65810"
"The Netherlands";"Western nationalities ex. Dutch";"272514";"268345";"794777";"143786";"136292";"393643";"128728";"132053";"401134"
"The Netherlands";"Non-western nationalities";"473162";"316819";"429952";"258582";"161392";"216079";"214580";"155427";"213873"
"The Netherlands";"Stateless / unknown";"11462";"66368";"31517";"6465";"39995";"18756";"4997";"26373";"12761"
"Bron: CBS"
