Municipality,Nationaliteit,2020,2022
Alblasserdam,Totaal,20165,20087
Alblasserdam,Totaal niet-Nederlandse nationaliteit,654,622
Alblasserdam,Afrika,45,43
Alblasserdam,Amerika,11,14
Alblasserdam,Azië,137,137
Alblasserdam,Europa (ex. NL),413,406
Alblasserdam,Oceanië,1,1
Albrandswaard,Totaal,25590,25934
Albrandswaard,Totaal niet-Nederlandse nationaliteit,827,831
Albrandswaard,Afrika,103,69
Albrandswaard,Amerika,31,44
Albrandswaard,Azië,215,179
Albrandswaard,Europa (ex. NL),424,494
Albrandswaard,Oceanië,1,1
Alphen aan den Rijn,Totaal,111897,112926
Alphen aan den Rijn,Totaal niet-Nederlandse nationaliteit,5541,5582
Alphen aan den Rijn,Afrika,487,373
Alphen aan den Rijn,Amerika,146,169
Alphen aan den Rijn,Azië,1077,953
Alphen aan den Rijn,Europa (ex. NL),3636,3949
Alphen aan den Rijn,Oceanië,9,9
Barendrecht,Totaal,48714,48714
Barendrecht,Totaal niet-Nederlandse nationaliteit,1542,1578
Barendrecht,Afrika,140,125
Barendrecht,Amerika,70,80
Barendrecht,Azië,451,396
Barendrecht,Europa (ex. NL),770,905
Barendrecht,Oceanië,1,1
Bodegraven-Reeuwijk,Totaal,34872,35752
Bodegraven-Reeuwijk,Totaal niet-Nederlandse nationaliteit,1225,1344
Bodegraven-Reeuwijk,Afrika,113,123
Bodegraven-Reeuwijk,Amerika,33,42
Bodegraven-Reeuwijk,Azië,240,218
Bodegraven-Reeuwijk,Europa (ex. NL),770,907
Bodegraven-Reeuwijk,Oceanië,3,3
Brielle,Totaal,17271,17704
Brielle,Totaal niet-Nederlandse nationaliteit,758,797
Brielle,Afrika,39,30
Brielle,Amerika,22,26
Brielle,Azië,120,97
Brielle,Europa (ex. NL),547,630
Brielle,Oceanië,1,0
Capelle aan den IJssel,Totaal,67122,67188
Capelle aan den IJssel,Totaal niet-Nederlandse nationaliteit,4166,4587
Capelle aan den IJssel,Afrika,308,357
Capelle aan den IJssel,Amerika,234,226
Capelle aan den IJssel,Azië,1334,1410
Capelle aan den IJssel,Europa (ex. NL),2049,2435
Capelle aan den IJssel,Oceanië,5,5
