,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
Nederland,,27.1,40,20
GM0014,Groningen,24.7,59.9,11.7
,Centrum,21.7,80.3,5.4
,Oud-Zuid,24.5,69.3,6.8
,Oud-West,24.9,68.2,9.4
,Oud-Noord,20.2,76.1,4.4
,Oosterparkwijk,22.4,72.4,6
,Zuidoost,34.4,40,23.2
,Helpman e.o.,30.6,49.3,17.2
,Zuidwest,29.3,52,15.7
,Hoogkerk e.o.,24.1,38.1,20.6
,Nieuw-West,22.2,55.5,13.2
,Noordwest,19.1,72.9,5.2
,Noordoost,22.9,47.4,11.9
,Noorddijk e.o.,23.6,40.3,13.6
,Meerdorpen,29.2,28.7,28.3
,Meerstad e.o.,29,13.9,45.6
,Ten Boer e.o.,24.6,30.1,19.5
,Ten Post e.o.,25.6,31.2,19.3
,Haren-West e.o.,35.4,31.5,32.3
,Haren-Oost e.o.,26.3,30.1,22.8
,Glimmen-Onnen-Noordlaren,36,22.5,38.7
GM0034,Almere,26.2,34.2,21.5
,Centrum Almere Haven,24.8,59.8,6.1
,De Werven,21.6,49.1,7.6
,De Hoven,21.6,51.1,9.6
,De Meenten,25.6,38.2,16.1
,De Grienden,24.2,33.7,16.5
,De Marken,23.9,33.7,16.7
,De Gouwen,27.8,28.4,22.1
,De Wierden,19.1,58.4,5.9
,De Velden,39.9,9.3,53.9
,Overgooi,58,15.3,69.3
,De Laren,17.9,51,11.1
,De Steiger,.,.,.
,Stichtsekant,.,.,.
,Overig Almere Haven,.,.,.
,Centrum Almere Stad,28.6,52.4,8.7
,Filmwijk,26.9,36.2,21.9
,Danswijk,23.7,29,20.8
,Parkwijk,27.7,31.8,28.8
,Verzetswijk,28.5,24.9,29.6
,Waterwijk,24.8,34.2,16.7
,Tussen de Vaarten Noord,24.7,31.5,22.6
,Tussen de Vaarten Zuid,26.4,26.9,25.5
,Staatsliedenwijk,19.2,62.7,6.5
,Kruidenwijk,23.9,36.9,15.8
,Stedenwijk,20.5,48.3,9.7
,Muziekwijk Noord,27.6,30,24.5
,Muziekwijk Zuid,25.5,38.3,18.2
,Literatuurwijk,27,26.2,31.7
,Noorderplassen,34.3,14.7,46
,Hortus,.,.,.
,Randstad,.,.,.
,Markerkant,.,.,.
,Hollandsekant,.,.,.
,Gooisekant,.,.,.
,Veluwsekant,.,.,.
,Sallandsekant,.,.,.
,Overig Almere Stad,.,.,.
,Centrum Almere Buiten,22.9,59.6,5.9
,Oostvaardersbuurt,25.6,27.2,27.9
,Seizoenenbuurt,27,26.9,26.2
,Molenbuurt,21,44.6,12.6
,Bouwmeesterbuurt,23,38.9,12.2
,Landgoederenbuurt,26,31.2,24.2
,Faunabuurt,26.3,27.5,28
,Bloemenbuurt,24.2,37.3,16.5
,Regenboogbuurt,25.5,30.1,21.6
,Indischebuurt,22.8,53,8.5
,Eilandenbuurt,27.6,26.2,26.4
,Stripheldenbuurt,26.5,23.3,29.7
,Sieradenbuurt,34,11.5,40.5
,Poldervlak,.,.,.
,De Vaart,.,.,.
,Buitenvaart,23.9,.,.
,Overig Almere Buiten,.,.,.
,Europakwartier Oost,.,.,.
,Europakwartier West,28.6,35.3,13.7
,Columbuskwartier,27.8,29.6,23.4
,Homeruskwartier,28.6,23.8,25.8
,Olympiakwartier Oost,.,.,.
,Olympiakwartier West,10.3,70.6,0.8
,Duin,36.2,14.9,41.5
,Hogekant,.,.,.
,Middenkant,.,.,.
,Lagekant,.,.,.
,Overig Almere Poort,.,.,.
,Vogelhorst,47.5,7.9,58.9
,Nobelhorst,29.7,19,35.7
,Oosterwold,33.2,10.6,45.5
,Twentsekant,.,.,.
,Overig Almere Hout,.,.,.
,Overig Almere Pampus,.,.,.
GM0037,Stadskanaal,21.8,46.9,11.8
,Stadskanaal,21.9,49.6,10.7
,Musselkanaal,21,47.3,10.5
,Onstwedde,22,39.3,16.9
,Mussel,23.6,28.1,21.3
,Alteveer,23.5,34.7,15.4
GM0047,Veendam,22.9,44,12.1
,Wijk 00 Veendam-kern,21.9,47.4,9.7
,Wijk 01 Veendam-buitengebied,25.3,27.8,18.6
,Wijk 02 Wildervank,25.6,36.4,18.8
GM0050,Zeewolde,27.7,32.3,25.2
,Wijk 00,27.7,32.3,25.2
GM0059,Achtkarspelen,21.2,40.5,13.4
,Wijk 00 Noord,21.4,39.4,12.8
,Wijk 01 Centrum,21.5,36.7,16.4
,Wijk 02 Zuid,21.1,42.3,13.2
GM0060,Ameland,24,39.4,17.8
,Wijk 00,24,39.4,17.8
GM0072,Harlingen,22.9,46.8,12.5
,Wijk 00 Harlingen,22.8,47.4,12.3
,Wijk 01 Midlum,24.7,37.5,16.4
,Wijk 02 Wijnaldum,23.7,39.3,15.1
GM0074,Heerenveen,25.4,40.1,17.9
,Wijk 01 Heerenveen,24.9,45,14.8
,Wijk 02 Noord-Heerenveen,24.9,23.2,27.8
,Wijk 03 Hoornsterzwaag,28.7,25.1,29.5
,Wijk 04 Jubbega,23.9,36.1,19.1
,Wijk 06 Oranjewoud,31.7,21.6,33.6
,Skarsterlân,25.5,24.9,27.3
,Boarnsterhim,27.7,34.5,22.2
GM0080,Leeuwarden,23.7,50.9,12.3
,Binnenstad,23.1,76.6,4.6
,Potmargezone,21.4,61.1,6.5
,Oud-Oost,20.2,68.8,4.3
,Sonnenborgh e.o.,25.3,54.7,13.2
,Westeinde e.o.,23.5,36.9,12.3
,Vossepark & Helicon,27.6,38.5,18.8
,Huizum-West,22.9,53.7,6.9
,Nijlân & De Zwette,22.3,66.2,4.2
,Heechterp & Schieringen,16.5,80.2,1.1
,Camminghaburen e.o.,24.7,35.2,14.4
,Bilgaard & Havankpark e.o.,18.2,71.5,4.8
,Vrijheidswijk,17.4,69.5,4.7
,Dokkumer Ie e.o.,27.2,27.3,24.6
,Stiens e.o.,24.3,31.8,17.9
,Aldlân & De Hemrik,24.6,45.9,10.6
,Goutum,29.4,14.7,31.1
,Hempens/Teerns & Zuiderburen,31.2,10.2,42.4
,De Zuidlanden,26.7,8.8,37.5
,Middelsee,.,.,.
,Dorpen Zuid-Oost,24.5,36,18.7
,Dorpen Zuid-West,25.8,30.4,24.5
,Grou e.o.,25.5,38.4,18.8
GM0085,Ooststellingwerf,23.5,39,15.4
,Appelscha,24.5,41,15.1
,Donkerbroek,24,33.8,20
,Elsloo,24.2,30.5,21.2
,Fochteloo,29.9,18,26.6
,Haule,24.8,24.7,27.8
,Haulerwijk,22.5,40.4,16
,Langedijke,26.9,18.6,26.5
,Makkinga,26,28.6,21.6
,Nijeberkoop,26.8,28.8,28.8
,Oldeberkoop,23.8,34.1,16.4
,Oosterwolde,22.2,44.7,10.8
,Ravenswoud,28.6,22.8,29.1
,Waskemeer,22.9,24.2,22
GM0086,Opsterland,24.4,35.4,19.3
,Bakkeveen,25.3,31.2,22.1
,Beetsterzwaag,28.6,35.1,20.3
,Frieschepalen,23.2,25.5,27.1
,Gorredijk,22.7,45.6,13
,Hemrik,26,30.8,25.7
,Jonkerslân,25.5,20.7,32.8
,Langezwaag,26.8,26.8,27.3
,Lippenhuizen,24.1,29.6,20.1
,Luxwoude,25.3,22.6,29.9
,Nij Beets,25.1,29.3,23.9
,Siegerswoude,25.6,20.8,29.3
,Terwispel,24.7,26.5,27
,Tijnje,24.4,29.9,19.1
,Ureterp,22.7,36,17.9
,Wijnjewoude,23.4,35.2,18.1
GM0088,Schiermonnikoog,27.3,45.1,13.1
,Wijk 00,27.3,45.1,13.1
GM0090,Smallingerland,23.6,42.4,14.4
,Wijk 00 Drachten,23.3,44.7,12.4
,Wijk 01 Overig Smallingerland,24.9,31,24
GM0093,Terschelling,27.2,43.5,18.6
,Wijk 00 West-Terschelling,27.4,49.8,14.4
,Wijk 01 Midsland,26.9,38.1,21.2
,Wijk 02 Formerum,29.4,30.5,26.6
,Wijk 03 Lies,25.5,.,.
,Wijk 04 Hoorn,27.2,37,24.7
,Wijk 05 Oosterend,25.4,.,.
GM0096,Vlieland,27.3,51.9,16.5
,Wijk 00,27.3,51.9,16.5
GM0098,Weststellingwerf,23.5,40.2,16
,Wolvega,22.4,46.2,11.2
,De Wolden-Ter Idzard,27.9,19.1,31.9
,De Lamers,25.1,21.2,39.4
,Lange-Nije-Munk,24.9,26.2,21.1
,Scherpenzeel-Spanga,23,30.5,24.6
,Oldetrijne-Sonnega,27.4,21,37
,Blesdijke,26.4,19.1,33.3
,De Blesse-Peperga,22.6,33.4,17.3
,Steggerda,24.6,32.6,17.9
,De Hoeve-Vinkega,27.2,20.1,35
,Noordwolde,21.9,50.1,12.1
,Oosterstreek,25.8,28.1,24.6
,Zandhuizen,28.2,35.5,18.4
,Boijl,25.1,33.2,20
,Nijeholtpade,26.1,21.6,33.7
,Oldeholtpade,29.1,20.6,23.4
GM0106,Assen,25,40.9,15.4
,Wijk 00 Assen centrum,29.4,55.2,13.1
,Wijk 01 Lariks,22.1,62.8,5.4
,Wijk 02 Noorderpark,21.9,55.5,7.1
,Wijk 03 Assen Oost,26,46.9,13.4
,Wijk 04 Pittelo,20.2,42.9,8.5
,Wijk 05 Assen West,25.3,33.2,14.5
,Wijk 06 Peelo,22.9,36.6,10.5
,Wijk 07 Marsdijk,26.8,23.6,22.7
,Wijk 08 Kloosterveen,25.9,18.1,31.7
,Wijk 99 Buitengebied,29.6,28.4,33.1
GM0109,Coevorden,24.6,37.9,17.8
,Wijk 10 Coevorden,22.4,44.8,11.7
,Wijk 11 Steenwijksmoer,24.2,26,21.1
,Wijk 12 Nieuwe Krim,21.2,.,.
,Wijk 13 Weijerswold,.,.,.
,Wijk 14 Vlieghuis en Padhuis,23,.,.
,Wijk 20 Dalen,26.7,29.6,25.2
,Wijk 30 Oosterhesselen,25.6,31.8,21.1
,Wijk 40 Sleen,25.5,38,19
,Wijk 50 Zweeloo,27.2,32.4,24
GM0114,Emmen,23,43.4,13.3
,Wijk 01 Nieuw-Weerdinge,21.4,40.4,14.9
,Wijk 02 Roswinkel,23.5,33.4,16
,Wijk 03 Emmer-Compascuum,22,39.7,12.2
,Wijk 04 Barger-Compascuum,22.1,39,13.4
,Wijk 05 Nieuw-Dordrecht,22.8,35.5,18.3
,Wijk 06 Nieuw-Amsterdam,22.9,39.7,15.8
,Wijk 07 Erica,24.7,33.2,20.6
,Wijk 08 Klazienaveen,22.1,42.4,12.9
,Wijk 09 Zwartemeer,21.9,36.6,14.7
,Wijk 10 Schoonebeek,24,34.7,15.8
,Wijk 13 Veenoord,20.9,48.6,9
,Wijk 21 Nieuw-Schoonebeek,24.8,30.5,19.3
,Wijk 32 Weiteveen,22.4,36.1,17.4
,Wijk 40 Emmen-Centrum,24.7,62.3,5.8
,Wijk 41 Emmen-Centrum Oost,28,41.7,19.6
,Wijk 42 Emmermeer,20.9,61.2,8.6
,Wijk 43 Angelslo,19.2,60.1,4.7
,Wijk 44 Emmerhout,20.5,55.5,6.2
,Wijk 45 Emmerschans,20.7,43.4,11.1
,Wijk 46 Bargeres,21.8,49,8.5
,Wijk 47 Rietlanden,26.7,27.1,20.2
,Wijk 48 Parc Sandur,31.8,14.1,30.4
,Wijk 49 Delftlanden,27.3,10.5,37.3
,Wijk 50 Barger-Oosterveld,24.3,30.5,21.7
,Wijk 51 Kern Emmen Noord,25.5,29.6,21.9
,Wijk 52 Kern Emmen Zuid,31.1,21.9,32.5
,Wijk 53 Kern Emmen Industrieterreinen,.,.,.
GM0118,Hoogeveen,22.7,41.3,13.7
,Wijk 50 Hoogeveen,21.3,52.1,8.2
,Wijk 51 De Weide,25.4,26.7,20.2
,Wijke 52 Fluitenberg,29.3,17.4,28.8
,Wijk 53 Elim,22.4,36.6,14.5
,Wijk 54 Hollandscheveld,21.1,39.7,15.3
,Wijk 55 Noordscheschut,22.3,29.5,19.1
,Wijk 56 Nieuwlande,22.7,28.9,17.3
,Wijk 57 Nieuweroord,22.4,30.6,20.7
,Wijk 58 Tiendeveen,22.9,33.8,16.5
,Wijk 59 Stuifzand,24.5,29.4,26.1
,Wijk 60 Pesse,24,33.6,19.1
,Wijk 61 Zuideropgaande Nieuw Moscou,21.5,30.1,23.3
,Wijk 62 Industrie- en verspr. gebieden,27.1,27.5,33
GM0119,Meppel,25.5,39.1,17.1
,Centrum,27.1,48.8,12.2
,Watertoren,21.6,60.4,7.5
,Haveltermade,20.9,62.3,5.1
,Koedijkslanden,22.1,46,8.3
,Berggierslanden,28.8,6.1,47.6
,Ezinge,21.5,54.5,4.7
,Oosterboer,28,23.4,25.4
,Nieuwveenselanden,24.3,20.9,12.8
,Blankenstein,.,.,.
,Industrieterrein Noord,.,.,.
,Industrie Oevers,30.4,.,.
,Verspreid gebied Meppel,35.2,.,.
,Nijeveen,25.7,27.7,24.3
,Rogat,30.1,23.4,33.1
GM0141,Almelo,22.8,45.7,13.6
,Binnenstad,23.5,65.9,5.6
,De Riet,20.2,54.8,7.4
,Noorderkwartier,26.3,35.8,17.3
,Sluitersveld,24.4,48.2,17.5
,Wierdense Hoek,19.5,55.8,7.9
,Nieuwstraat-Kwartier,16.4,64.6,3.9
,Ossenkoppelerhoek,18.3,58.9,5
,Hofkamp,28.1,35.9,25.7
,Schelfhorst,22,39.2,12.4
,Windmolenbroek,25.7,26.5,23.1
,Aadorp,25.5,24.1,27.1
,Bornerbroek,26.9,24.4,31.8
GM0147,Borne,26.6,31,22.8
,Wijk 00 Borne,26.4,31.9,21.9
,Wijk 01 Buitengebied Borne,28.2,21.2,32.8
GM0148,Dalfsen,25.5,28.3,24.6
,Dalfsen,26.5,27.6,26.6
,Nieuwleusen,24.3,30.2,21.9
,Lemelerveld,24.2,26.9,23.9
GM0150,Deventer,25.4,42.4,17.2
,Binnenstad,29.8,55.4,12.9
,De Hoven,25.9,27.2,22
,Zandweerd,24.3,51,11.5
,Voorstad,21.9,54,10.7
,Borgele en Platvoet,22.7,54.5,10.9
,Keizerslanden,21.7,58.6,8.6
,Rivierenwijk en Bergweide,20.4,57.1,8.5
,Colmschate-Noord,23.2,29.6,13.2
,Colmschate-Vijfhoek,27.6,16.8,32.2
,Colmschate-Zuid,26.9,30,20.2
,Diepenveen,31.6,25.6,33.7
,Schalkhaar,28.3,27.1,31
,Okkenbroek,24.7,38.9,19.1
,Lettele,25.7,26.1,33
,Bathmen,28,25.6,28.8
GM0153,Enschede,22.6,52.9,12.1
,Wijk 00 Binnensingelgebied,23,65.8,8.3
,Wijk 01 Hogeland - Velve,23.3,46.5,14.2
,Wijk 02 Boswinkel - Stadsveld,21.3,56.1,9.6
,Wijk 03 Twekkelerveld - T.H.T.,20.6,60.5,6.8
,Wijk 04 Enschede-Noord,22.8,59.2,11.4
,Wijk 05 Ribbelt - Stokhorst,25.2,43.7,15.5
,Wijk 06 Enschede-Zuid,20.9,48.8,11.7
,Wijk 07 Bedrijfsterreinen Enschede-West,24.8,49.7,17
,Wijk 08 Glanerbrug en omgeving,22.4,39,15.7
,Wijk 09 Landelijk gebied en kernen,28.7,28.4,30.5
GM0158,Haaksbergen,25.3,33.5,21.9
,Wijk 00 Haaksbergen (dorp),24.8,33.9,19.2
,Wijk 01 Haaksbergen (buitengebied),28.3,20.8,37.9
,Wijk 02 Sint Isidorushoeve,26.2,21.9,35
,Wijk 03 Buurse,25.5,33.8,25.7
,Wijk 04 Rietmolen,23.6,.,.
,Wijk 05 Hengevelde,26.7,.,.
,Wijk 06 Beckum,28.3,.,.
,Wijk 09 Haaksbergen-kern,24.3,59.1,10.1
GM0160,Hardenberg,23.3,33.4,19.4
,Ane,25,20,36.3
,Anerveen,30.8,.,.
,Anevelde,.,.,.
,Balkbrug,24.9,29.3,22.9
,Bergentheim,21.5,29.4,21.1
,Brucht,24.7,16.8,31.8
,Collendoorn,24.6,22.4,35.2
,De Krim,21.6,35.3,16.4
,Dedemsvaart,23.2,35,17.5
,Den Velde,25.7,.,.
,Diffelen,26,.,.
,Gramsbergen,23.5,35.4,19
,Heemserveen,25.6,24.3,29.1
,Holtheme,26.6,.,.
,Holthone,26.4,.,.
,Hoogenweg,25.4,20,32.9
