Municipality,2020,2022
Alblasserdam,20165,20087
Albrandswaard,25590,25934
Alphen aan den Rijn,111897,112926
Barendrecht,48714,48714
Bodegraven-Reeuwijk,34872,35752
Brielle,17271,17704
Capelle aan den IJssel,67122,67188
Delft,103595,104572
Dordrecht,119284,119537
Goeree-Overflakkee,50049,51051
Gorinchem,37022,37632
Gouda,73427,74095
's-Gravenhage,545838,553417
Hardinxveld-Giessendam,18295,18511
Hellevoetsluis,40142,40574
Hendrik-Ido-Ambacht,31202,31663
Hillegom,22209,22312
Hoeksche Waard,87401,88715
Kaag en Braassem,27297,27895
Katwijk,65753,66032
Krimpen aan den IJssel,29526,29415
Krimpenerwaard,56319,57062
Lansingerland,62384,64110
Leiden,125099,125074
Leiderdorp,27056,27464
Leidschendam-Voorburg,76534,76659
Lisse,22955,23015
Maassluis,33213,34148
Midden-Delfland,19341,19484
Molenlanden,43909,44644
Nieuwkoop,28811,29304
Nissewaard,85219,86332
Noordwijk,43508,44365
Oegstgeest,24840,25499
Papendrecht,32136,32208
Pijnacker-Nootdorp,55308,56572
Ridderkerk,46189,47099
Rijswijk,54450,56941
Rotterdam,651157,655468
Schiedam,78730,79644
Sliedrecht,25220,25897
Teylingen,37440,37942
Vlaardingen,73397,74143
Voorschoten,25596,25627
Waddinxveen,29291,31342
Wassenaar,26305,27115
Westland,110375,112448
Westvoorne,14731,14960
Zoetermeer,125285,125767
Zoeterwoude,8605,9302
Zuidplas,43885,45794
Zwijndrecht,44737,44789
