Gemeente,Perioden,Farming Forestry and Fishery,Industry and energy,Commercial service,Non-commercial service
Alblasserdam,2020,0.0,2.1,6.2,1.2
Albrandswaard,2020,0.0,0.5,5.4,2.1
Alphen aan den Rijn,2020,1.6,5.2,21.9,12.4
Barendrecht,2020,0.1,2.3,19.7,5.4
Bodegraven-Reeuwijk,2020,0.3,2.4,9.2,2.3
Brielle,2020,0.3,0.7,3.1,1.7
Capelle aan den IJssel,2020,0.0,3.5,22.1,9.6
Delft,2020,0.0,5.8,26.0,25.3
Dordrecht,2020,0.0,9.0,27.2,21.4
Goeree-Overflakkee,2020,0.7,2.6,8.5,7.6
Gorinchem,2020,.,4.3,13.7,.
Gouda,2020,.,.,17.4,15.5
's-Gravenhage,2020,0.9,11.0,128.5,144.7
Hardinxveld-Giessendam,2020,0.0,2.9,4.4,1.9
Hellevoetsluis,2020,0.0,0.9,4.8,2.8
Hendrik-Ido-Ambacht,2020,.,1.1,5.2,.
Hillegom,2020,0.3,0.7,3.9,1.8
Hoeksche Waard,2020,0.6,6.2,15.5,7.6
Kaag en Braassem,2020,0.7,1.8,3.9,1.6
Katwijk,2020,0.5,2.8,13.9,6.1
Krimpen aan den IJssel,2020,0.0,1.6,3.5,2.4
Krimpenerwaard,2020,0.3,4.2,7.8,4.5
Lansingerland,2020,3.1,2.7,18.8,4.7
Leiden,2020,0.0,7.0,26.5,36.8
Leiderdorp,2020,.,.,3.8,7.1
Leidschendam-Voorburg,2020,0.1,0.7,8.1,8.8
Lisse,2020,0.3,1.3,4.8,2.0
Maassluis,2020,0.0,1.1,3.9,2.4
Midden-Delfland,2020,0.6,1.6,4.0,2.0
Molenlanden,2020,.,5.1,6.7,.
Nieuwkoop,2020,0.8,1.4,3.5,2.6
Nissewaard,2020,0.1,2.0,10.7,7.2
Noordwijk,2020,0.5,1.6,10.1,5.8
Oegstgeest,2020,.,.,3.0,3.2
Papendrecht,2020,.,5.1,6.1,.
Pijnacker-Nootdorp,2020,0.9,1.6,9.6,5.1
Ridderkerk,2020,0.4,3.5,12.7,5.1
Rijswijk,2020,0.1,1.9,18.4,9.7
Rotterdam,2020,0.3,42.7,211.7,144.0
Schiedam,2020,0.0,5.9,17.3,10.4
Sliedrecht,2020,.,3.3,7.6,.
Teylingen,2020,0.2,3.2,9.3,3.9
Vlaardingen,2020,0.2,3.7,8.4,6.9
Voorschoten,2020,0.0,0.4,2.8,2.1
Waddinxveen,2020,.,.,8.3,2.3
Wassenaar,2020,0.0,0.6,3.0,3.1
Westland,2020,9.3,9.2,45.5,10.0
Westvoorne,2020,0.2,0.3,1.6,1.0
Zoetermeer,2020,0.1,5.0,27.7,20.2
Zoeterwoude,2020,0.0,2.2,2.5,1.3
Zuidplas,2020,1.0,3.7,7.9,3.1
Zwijndrecht,2020,0.0,3.8,10.6,4.9
