"Regionale kerncijfers Nederland"
""
"";"";"Topic"
"";"";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Totale oppervlakte";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Water|Water totaal";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Water|Binnenwater";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Water|Buitenwater"
"Regions";"Periods";"km²";"km²";"km²";"km²";"km²"
"Appingedam";"2017";"24.58";"23.78";"0.80";"0.80";"0.00"
"Appingedam";"2018";"24.58";"23.78";"0.80";"0.80";"0.00"
"Appingedam";"2019";"24.58";"23.78";"0.80";"0.80";"0.00"
"Bedum";"2017";"44.96";"44.54";"0.41";"0.41";"0.00"
"Bedum";"2018";"44.96";"44.54";"0.41";"0.41";"0.00"
"Bedum";"2019";"";"";"";"";""
"Belling bet";"2017";"110.09";"108.37";"1.72";"1.72";"0.00"
"Belling bet";"2018";"";"";"";"";""
"Belling bet";"2019";"";"";"";"";""
"Ten Boer";"2017";"45.73";"45.31";"0.42";"0.42";"0.00"
"Ten Boer";"2018";"45.73";"45.31";"0.42";"0.42";"0.00"
"Ten Boer";"2019";"";"";"";"";""
"Delfzijl";"2017";"227.50";"133.13";"94.37";"3.05";"91.32"
"Delfzijl";"2018";"227.50";"133.07";"94.43";"2.97";"91.45"
"Delfzijl";"2019";"227.50";"133.07";"94.43";"2.97";"91.45"
"Eemsmouth";"2017";"543.35";"189.31";"354.04";"1.50";"352.54"
"Eemsmouth";"2018";"543.35";"189.46";"353.89";"1.50";"352.39"
"Eemsmouth";"2019";"";"";"";"";""
"Groningen (municipality)";"2017";"101.50";"95.34";"6.16";"6.16";"0.00"
"Groningen (municipality)";"2018";"101.50";"94.92";"6.58";"6.58";"0.00"
"Groningen (municipality)";"2019";"197.96";"185.60";"12.36";"12.36";"0.00"
"Grand guest";"2017";"87.74";"86.71";"1.03";"1.03";"0.00"
"Grand guest";"2018";"87.74";"86.70";"1.04";"1.04";"0.00"
"Grand guest";"2019";"";"";"";"";""
"Hair";"2017";"50.73";"45.42";"5.32";"5.32";"0.00"
"Hair";"2018";"50.73";"45.37";"5.36";"5.36";"0.00"
"Hair";"2019";"";"";"";"";""
"The Highland";"2017";"";"";"";"";""
"The Highland";"2018";"";"";"";"";""
"The Highland";"2019";"907.58";"482.75";"424.83";"17.62";"407.21"
"Hoogezand-Sappemeer";"2017";"72.99";"66.46";"6.53";"6.53";"0.00"
"Hoogezand-Sappemeer";"2018";"";"";"";"";""
"Hoogezand-Sappemeer";"2019";"";"";"";"";""
"Seemed";"2017";"64.28";"63.18";"1.10";"1.10";"0.00"
"Seemed";"2018";"64.28";"63.18";"1.11";"1.11";"0.00"
"Seemed";"2019";"";"";"";"";""
"Loppersum";"2017";"111.99";"111.04";"0.95";"0.95";"0.00"
"Loppersum";"2018";"111.99";"111.04";"0.95";"0.95";"0.00"
"Loppersum";"2019";"111.99";"111.04";"0.95";"0.95";"0.00"
"The Marne";"2017";"240.33";"170.40";"69.93";"14.85";"55.08"
"The Marne";"2018";"240.33";"170.68";"69.65";"14.83";"54.82"
"The Marne";"2019";"";"";"";"";""
"Marum";"2017";"64.89";"64.46";"0.43";"0.43";"0.00"
"Marum";"2018";"64.89";"64.37";"0.52";"0.52";"0.00"
"Marum";"2019";"";"";"";"";""
"Menterwolde";"2017";"81.62";"80.25";"1.38";"1.38";"0.00"
"Menterwolde";"2018";"";"";"";"";""
"Menterwolde";"2019";"";"";"";"";""
"Central Groningen";"2017";"";"";"";"";""
"Central Groningen";"2018";"295.77";"280.00";"15.77";"15.77";"0.00"
"Central Groningen";"2019";"295.77";"280.00";"15.77";"15.77";"0.00"
"Oldambt";"2017";"295.96";"226.73";"69.23";"13.80";"55.43"
"Oldambt";"2018";"295.96";"226.66";"69.30";"13.87";"55.43"
"Oldambt";"2019";"295.96";"226.66";"69.30";"13.87";"55.43"
"Pekela";"2017";"50.20";"49.07";"1.13";"1.13";"0.00"
"Pekela";"2018";"50.20";"49.04";"1.17";"1.17";"0.00"
"Pekela";"2019";"50.20";"49.04";"1.17";"1.17";"0.00"
"Reiderland";"2017";"";"";"";"";""
"Reiderland";"2018";"";"";"";"";""
"Reiderland";"2019";"";"";"";"";""
"Scheemda";"2017";"";"";"";"";""
"Scheemda";"2018";"";"";"";"";""
"Scheemda";"2019";"";"";"";"";""
"slouching";"2017";"141.15";"134.02";"7,13";"7,13";"0,00"
"slouching";"2018";"";"";"";"";""
"slouching";"2019";"";"";"";"";""
"Stadskanaal";"2017";"119,94";"117,64";"2,31";"2,31";"0,00"
"Stadskanaal";"2018";"119,94";"117,64";"2,30";"2,30";"0,00"
"Stadskanaal";"2019";"119,94";"117,64";"2,30";"2,30";"0,00"
"Veendam";"2017";"78,68";"76,00";"2,68";"2,68";"0,00"
"Veendam";"2018";"78,68";"76,00";"2,68";"2,68";"0,00"
"Veendam";"2019";"78,68";"76,00";"2,68";"2,68";"0,00"
"Vlagtwedde";"2017";"170,56";"167,40";"3,16";"3,16";"0,00"
"Vlagtwedde";"2018";"";"";"";"";""
"Vlagtwedde";"2019";"";"";"";"";""
"Westerkwartier";"2017";"";"";"";"";""
"Westerkwartier";"2018";"";"";"";"";""
"Westerkwartier";"2019";"368,87";"362,69";"6,18";"6,18";"0,00"
"Westerwolde";"2017";"";"";"";"";""
"Westerwolde";"2018";"280,65";"275,67";"4,98";"4,98";"0,00"
"Westerwolde";"2019";"280,65";"275,67";"4,98";"4,98";"0,00"
"Winschoten";"2017";"";"";"";"";""
"Winschoten";"2018";"";"";"";"";""
"Winschoten";"2019";"";"";"";"";""
"Winsum";"2017";"102,53";"101,10";"1,44";"1,44";"0,00"
"Winsum";"2018";"102,53";"101,10";"1,44";"1,44";"0,00"
"Winsum";"2019";"";"";"";"";""
"Zuidhorn";"2017";"128,37";"125,48";"2,89";"2,89";"0,00"
"Zuidhorn";"2018";"128,37";"125,42";"2,96";"2,96";"0,00"
"Zuidhorn";"2019";"";"";"";"";""
"Bron: CBS"
