"Regionale kerncijfers Nederland"
""
"";"";"Topic"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Particuliere huishoudens|Particuliere huishoudens|Totaal aantal particuliere huishoudens";"Bevolking|Particuliere huishoudens|Particuliere huishoudens, relatief|Eenpersoonshuishoudens";"Bevolking|Particuliere huishoudens|Gemiddelde huishoudensgrootte";"Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Code";"Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Naam"
"Regions";"Periods";"number of";"number of";"%";"persons per 1 household";"code";"name"
"The Netherlands";"2020";"17407585";"7997800";"38.5";"2.14";"";""
"The Netherlands";"2021";"17475415";"8043443";"38.5";"2.14";"";""
"The Netherlands";"2022";"17590672";"8138591";"39.0";"2.13";"";""
"South Netherlands (LD)";"2020";"3680156";"1689782";"36.5";"2.14";"";""
"South Netherlands (LD)";"2021";"3689821";"1699437";"36.7";"2.14";"";""
"South Netherlands (LD)";"2022";"3711176";"1719644";"37.2";"2.13";"";""
"Overijssel (PV)";"2020";"1162406";"508409";"35.1";"2.25";"";""
"Overijssel (PV)";"2021";"1166533";"512031";"35.3";"2.24";"";""
"Overijssel (PV)";"2022";"1171910";"516961";"35.8";"2.23";"";""
"North Frisia (CR)";"2020";"320647";"149202";"39.3";"2.11";"";""
"North Frisia (CR)";"2021";"321562";"149957";"39.2";"2.11";"";""
"North Frisia (CR)";"2022";"323359";"151635";"39.9";"2.10";"";""
"Arnhem";"2020";"161348";"81399";"48.3";"1.94";"RE02";"EastHolland"
"Arnhem";"2021";"162424";"82259";"48.3";"1.93";"RE02";"EastHolland"
"Arnhem";"2022";"163888";"83213";"48.5";"1.93";"RE02";"EastHolland"
"Haarlem";"2020";"162902";"78171";"43.6";"2.06";"RE04";"NorthHolland"
"Haarlem";"2021";"162543";"78202";"43.5";"2.05";"RE04";"NorthHolland"
"Haarlem";"2022";"162898";"78486";"43.6";"2.05";"RE04";"NorthHolland"
"Zwijndrecht";"2020";"44737";"20162";"34.4";"2.19";"RE07";"Rotterdam"
"Zwijndrecht";"2021";"44775";"20215";"34.6";"2.19";"RE07";"Rotterdam"
"Zwijndrecht";"2022";"44789";"20344";"35.2";"2.18";"RE07";"Rotterdam"
"Bron: CBS"
